epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_tv,train_loss_grad,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,241.4514870643616,7979.37255859375,0.0,0.0,1.3494824171066284,0.645083312117502,0.6841603666306303,0.3915589246215623,0.1632315092846347,0.0,0.0,0.0,0.0,0.0,0.0,2.7182415874932846,2.748678498242675,1.870919942855835,38.48715898861012,133.63624553374407,0.1450263156157421,0.3812555858501679,0.1875325441360473,23.375050464271297,0.0052624731042152,0.0069017502186922,0.0032274150289595,0.0006428834114792,0.003467421450022,0.6761144424909346,0.2231202430208673,0.7299973964691162,1.0900282599919258,0.9370736789423972
2,42,239.42249011993408,7978.71630859375,0.0,0.0,1.0044079108291455,0.5400370514849157,0.4467439655767103,0.3413104542324607,0.1421378877198106,0.0,0.0,0.0,0.0,0.0,0.0,2.5674742695634456,2.6674395726483024,1.7660813331604004,35.2744139531627,126.7715505135137,0.2369342488678511,0.3133775621848138,0.2639124989509582,13.120710536939848,0.0048925940332966,0.0066314662895218,0.0030179005116224,0.000603909649873,0.0037620478555029,0.6943491815943174,0.224875536897869,0.7453673481941223,0.9689140088817118,0.8845496168360114
3,42,239.6052017211914,7978.96630859375,0.0,0.0,0.9334954416922976,0.5007255835015998,0.4154948743336509,0.3224138963545718,0.1405084671443729,0.0,0.0,0.0,0.0,0.0,0.0,2.4833526649325486,2.609153255686973,1.6698977947235107,34.67470068311416,122.26357573868704,0.232268341207485,0.4293465481806546,0.2866151332855224,14.291481631005247,0.0047888557137261,0.0065544253187954,0.0029556243680417,0.0005902757123399,0.0037878684843547,0.7009030644288216,0.2278013631307784,0.7549842596054077,1.4937424303593057,0.8364267095457762
4,42,239.55975103378296,7978.56005859375,0.0,0.0,0.8869759103898226,0.4759728070556452,0.3937318001827745,0.314472348115851,0.1412657983660507,0.0,0.0,0.0,0.0,0.0,0.0,2.42773680202287,2.5416514639129044,1.6424390077590942,33.04056538253631,117.17868333816976,0.2698224738426732,0.3986673168598968,0.3167009353637695,11.425111021396852,0.0046367093073829,0.0062421991999718,0.0028763457667082,0.0005261718798116,0.0031724213937074,0.7146573694761983,0.2163897787319231,0.7709783315658569,1.0496568429551878,0.8226576767629012
5,42,239.6588039398193,7978.37255859375,0.0,0.0,0.849632638493223,0.4556367771857473,0.3765106811240149,0.3117466462476022,0.1436771562343769,0.0,0.0,0.0,0.0,0.0,0.0,2.4219107782542646,2.571162406109751,1.6354613304138184,32.597950813478334,114.98218410334924,0.2988209171212388,0.3450868392329664,0.331838846206665,8.195397658457813,0.0044866075302466,0.006141562789691,0.0027301362715661,0.0005090918160718,0.0028920804946503,0.7274004797999013,0.2170167532797188,0.7860404253005981,0.9689140088817118,0.8190957333426923
6,42,239.56036829948425,7979.12255859375,0.0,0.0,0.8206793936816129,0.4389414349050993,0.3640717646341765,0.3102154679465712,0.145640385611966,0.0,0.0,0.0,0.0,0.0,0.0,2.362922624084417,2.5175247768915705,1.576977014541626,31.2749368401036,111.371329753904,0.3133340302522402,0.4444772856632993,0.3565019965171814,7.589826402906742,0.0045023633454872,0.0060162430655776,0.0027930322103202,0.0004685205220445,0.0024345047655382,0.7353343738391123,0.2093542281461539,0.792953610420227,0.8881711748082357,0.7898850233759731
7,42,244.9531009197235,7972.0625,0.0,0.0,0.7970914866365314,0.42735850283403715,0.35203772673956707,0.3069566953600499,0.146256898281772,0.0,0.0,0.0,0.0,0.0,0.0,2.332909610378866,2.492803087219592,1.560389518737793,31.396309893149663,108.19307161706406,0.3100440036302427,0.45864793108723,0.3546806573867798,8.518368994751716,0.004436504652833858,0.0059928470262624114,0.002706554252654314,0.00047605116686526267,0.0025901312720287063,0.7365136702887513,0.21384225980360508,0.7967039942741394,1.0496568429551878,0.7815480364952236
8,42,242.78853344917297,7971.8125,0.0,0.0,0.7761896866740603,0.4175387821509317,0.34077790258318613,0.30690321155141986,0.14803968511367338,0.0,0.0,0.0,0.0,0.0,0.0,2.312117105710095,2.45908669274718,1.5491318702697754,30.710650324847087,107.08116887464213,0.3148216643447014,0.44129397274928484,0.36820220947265625,8.235769075494549,0.004322444934924178,0.005899750783467532,0.002630695002153516,0.0004673220585197944,0.002615269644846129,0.7398472099858616,0.2177646085300768,0.800427258014679,1.0092854259184496,0.7758812826359645
9,42,242.8678479194641,7973.9375,0.0,0.0,0.7599965704685193,0.4115215971519312,0.3303123684258362,0.3078813295235094,0.1508379079270781,0.0,0.0,0.0,0.0,0.0,0.0,2.3176251902016762,2.486403046253445,1.5442020893096924,30.611776832992728,107.58470973722486,0.328455781643074,0.44025613010877507,0.36952072381973267,6.943883730318934,0.004310672198214802,0.005921616026263912,0.0026408606208860874,0.000478430995408978,0.0026129779369461568,0.7400082549742744,0.22352830347485417,0.8012731671333313,1.1707710940654017,0.7734214749652892
10,42,242.88726782798767,7974.3125,0.0,0.0,0.747844650509635,0.4072906535112877,0.3222968303368232,0.3072975608720734,0.15184191582305578,0.0,0.0,0.0,0.0,0.0,0.0,2.29138146550874,2.4635208868955765,1.537105679512024,30.575898794224766,110.15870674428871,0.32566984954937167,0.4618474470990701,0.37478429079055786,7.589826402906742,0.004231325689716785,0.005786700268314067,0.002595948986709118,0.0004415745126908383,0.0024406357786137946,0.7483580726791785,0.21758032401929198,0.8117725253105164,0.9285425918449738,0.7698508142493665
