epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_tv,train_loss_grad,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,241.28235840797424,7978.87255859375,0.0,0.0,1.3324004024790044,0.6461485041100443,0.686251899747377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6959782195731328,2.732152077682412,1.8580235242843628,38.13456784759173,133.0989068187233,0.154118640797245,0.3802529393213137,0.199540376663208,22.24465078724263,0.0052910877751081,0.0068052952845484,0.0032674323301762,0.0006199502012437,0.003054437035845,0.6767164606166357,0.2181098639274866,0.7276808619499207,0.8881711748082357,0.9306454783072696
2,42,239.18199706077576,7976.71630859375,0.0,0.0,0.9724002936810398,0.5290569739573691,0.4433433213397456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5229505657500013,2.631991454762298,1.733228087425232,34.26707354583213,123.1614723992102,0.2566855733655468,0.3147227910952215,0.2850842475891113,11.303996770286636,0.0048919647413741,0.0065382838416255,0.0030485542956739,0.0005709725669577,0.0034261768557868,0.703746453354712,0.2162902543657813,0.7527246475219727,1.2111425111021397,0.868138320860453
3,42,239.2752194404602,7977.46630859375,0.0,0.0,0.8762092819434414,0.4720107778502803,0.404198503974332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3801215762888344,2.536758651348091,1.5815939903259275,31.69519294532847,107.98468467912824,0.2941504957024301,0.4047145007323469,0.3460657000541687,9.689140088817116,0.0046838729347451,0.0063444755881406,0.0028717289678752,0.0005435252805496,0.0029502729267229,0.7176258970182847,0.2145194741566564,0.774416446685791,0.9285425918449738,0.7922328596469015
4,42,239.267484664917,7978.96630859375,0.0,0.0,0.8131300019875668,0.4340308079974312,0.3790991938475406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3077921844555647,2.4603894067471117,1.5331177711486816,30.86148692718177,108.61659494383922,0.3312559295047133,0.3686321349123315,0.3657075762748718,6.822769479208721,0.0045400597620026,0.0060344764273012,0.0027934866957366,0.000489951440497,0.0022991764755956,0.7285732508523839,0.2008176975528472,0.7814708352088928,0.6459426725878078,0.7679556289222091
5,42,239.1232841014862,7978.46630859375,0.0,0.0,0.7776277972180308,0.4155762791633606,0.362051519789574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.314172006134345,2.4912777229539564,1.5365941524505615,30.862687706045143,109.1242750677627,0.3330082931391501,0.3345999585485716,0.368434727191925,7.064997981429149,0.0044753032758781,0.0061125012828768,0.0027220065239816,0.0005145005587195,0.0028148544199281,0.7280765358218754,0.2110115434680275,0.7849944829940796,1.0092854259184496,0.7696580794872716
6,42,238.98968195915225,7979.46630859375,0.0,0.0,0.7473947935317312,0.3998734597621732,0.3475213343874689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.284357757615523,2.4872110162483376,1.516141653060913,30.27093116622514,109.489134950027,0.349083198863843,0.3700991496196107,0.3854314088821411,6.257569640694388,0.0043651842483744,0.0059437041537365,0.0026470536831766,0.0004945763735938,0.0026762041167779,0.7300761382956152,0.2151717006714485,0.787405252456665,1.0496568429551878,0.7593943533720449
7,42,244.17326951026917,7972.0625,0.0,0.0,0.712116757933603,0.3836697645639879,0.3284469939162286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2096588037784755,2.3901979512642355,1.4611320495605469,29.301740514884287,109.12382795942628,0.36126948714400664,0.47686516214269664,0.4117357134819031,5.692369802180056,0.004273016580760741,0.005799677987570522,0.0025654095225036144,0.0004548386510771165,0.0021856288387927703,0.7505884881841592,0.20208830346715284,0.8042861223220825,1.0092854259184496,0.7318487295415252
8,42,242.2702760696411,7971.8125,0.0,0.0,0.672244425738257,0.3656246213203792,0.30661980408515654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1607269644406375,2.3454301583685457,1.4151743650436401,28.901184713493052,108.34280723283928,0.37547456647871386,0.38395873894924576,0.4271209239959717,6.499798142914816,0.004123934046676568,0.00592339754843821,0.002428072039037943,0.0004684424243403328,0.0032765586517784742,0.7526991405841271,0.2138999696004768,0.8147729635238647,1.0900282599919258,0.708801218541339
9,42,242.41717386245728,7973.9375,0.0,0.0,0.6376454382421868,0.3516562870292192,0.28598914981078494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1316297329453917,2.3302394013893153,1.395629644393921,27.786402606615074,103.9893279083611,0.39087708192724446,0.4089430668493642,0.4353224039077759,5.450141299959629,0.0040160249048257395,0.005772102216993919,0.002352643059566617,0.00044102091126104116,0.0027175612018627403,0.7640155030442285,0.21113532889577136,0.8242011070251465,0.9689140088817118,0.6989911437267438
10,42,242.50202775001526,7974.3125,0.0,0.0,0.6102018362977668,0.34117033735416724,0.2690314984445176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.114358525876622,2.3197331021189083,1.385646939277649,27.582526341317443,105.6516177695383,0.3988470214482609,0.37057776557011823,0.4436187148094177,5.692369802180056,0.003943364106812765,0.005683554648780246,0.002344257663935423,0.0004134510640212693,0.0025863331626391497,0.7718632330950297,0.2166060792240374,0.8351736664772034,0.8477997577714977,0.6939955984707922
