epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_tv,train_loss_grad,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,240.36761331558228,7978.87255859375,0.0,0.0,2.006076674141952,0.6676725795109306,0.6692020501436419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8032111164917857,2.796850391735581,1.932722091674805,39.37562667545738,135.1422298383137,0.1081627693973244,0.3735600037083062,0.1424640417098999,27.57367783609205,0.0052373099418431,0.0068496861861572,0.0032322248443961,0.0006310959103333,0.0034537455366797,0.6792189348932712,0.2235256870168332,0.7346336841583252,1.0496568429551878,0.9679771582596004
2,42,238.3806538581848,7976.71630859375,0.0,0.0,1.442469828246693,0.5601450425395935,0.4411623927584865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56772207902488,2.6706246604381825,1.7589845657348633,35.42687035854293,127.28902043281803,0.2305359157718955,0.3237583314642679,0.2588881254196167,13.685910375454178,0.0048089831103068,0.006624980317456,0.0029528304003179,0.000602939709993,0.0039694955811165,0.6975969620467098,0.2269860715319962,0.7525079250335693,1.3322567622123538,0.8809686980675906
3,42,238.47769212722775,7977.46630859375,0.0,0.0,1.307813375475304,0.5000999853656622,0.4038566953162447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.441878142497823,2.567934082935888,1.6427483558654783,33.5759763863155,117.43137607468778,0.2552514006690147,0.3912945878136561,0.3086263537406921,12.676624949535729,0.0046534636314407,0.0063691384150612,0.0028126391116529,0.000549001592077,0.0033886727435118,0.7168249418334129,0.2180844311379421,0.7759873867034912,1.1303996770286635,0.8227804974885657
4,42,238.40656852722168,7978.21630859375,0.0,0.0,1.2136341080521091,0.4575370637138494,0.378048521289795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3624043914665784,2.49023126939068,1.5805124044418335,31.70695105857936,110.97263426332412,0.3053563140937287,0.3706817868099692,0.3415261507034302,8.114654824384337,0.0045024665716334,0.0059320623799335,0.0027712623123079,0.0004727188764207,0.002059715495033,0.7329406645397145,0.2006522463555031,0.7864714860916138,0.6459426725878078,0.7916418333770707
5,42,238.3084874153137,7977.87255859375,0.0,0.0,1.1560193360137028,0.4331257130350602,0.3614468112991947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.380522503733009,2.5472942691780083,1.5861220359802246,31.77876853893344,109.03995323216718,0.3179000712326567,0.3074795642144445,0.3481917381286621,6.984255147355673,0.0044719696137837,0.0059792598183633,0.0027487182524055,0.0004954532323305,0.0025548082688242,0.7260126617823968,0.2098788951628457,0.7816033363342285,1.0496568429551878,0.7944353771163151
6,42,238.1999742984772,7971.46630859375,0.0,0.0,1.110611614713258,0.4163483100121861,0.3471316540022596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3285298689306506,2.52288517474756,1.5463519096374512,30.80486099744463,109.97345753936104,0.3374252822017015,0.3569080540200884,0.3701049089431762,5.894226887363747,0.0043154736793753,0.0058541032604276,0.0026443104725331,0.0004763473241212,0.0025284053923485,0.735455541082289,0.2150980115893475,0.7950119972229004,1.0092854259184496,0.7744981100549921
7,42,243.53175473213196,7972.8125,0.0,0.0,1.05450756555539,0.3997644717898665,0.327371546478743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.255520873305643,2.4317023701580625,1.4968194961547852,30.036201361935955,106.9646932975369,0.34562468726066126,0.4477924542114434,0.3921496868133545,6.21719822365765,0.004213600532977828,0.005702875489616015,0.002568280790001154,0.00044230980688571606,0.0022224389455811904,0.7504612070252253,0.20657307567135214,0.8088895082473755,1.0496568429551878,0.7496938884723932
8,42,241.4787094593048,7972.21875,0.0,0.0,0.9930397877662756,0.38257227754859074,0.3052337546097605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21218024572635,2.3778489864462142,1.4704062938690186,29.45025654669449,109.74648744311271,0.35645895878730594,0.36011686633111323,0.4005706310272217,6.903512313282197,0.004085910612489962,0.0057761228324166745,0.002437483984977007,0.00045104486206378727,0.0029281162141103446,0.7576324912536322,0.2138725400371222,0.8181511759757996,0.8881711748082357,0.7364218889269978
9,42,241.6817662715912,7971.3125,0.0,0.0,0.9387291787723986,0.3695547061198446,0.28458723654016926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1863371655314885,2.376282189490971,1.4424407482147217,28.476032286223248,105.52107859787607,0.379927342872635,0.341307791238172,0.41529083251953125,5.127169963665724,0.00400570526206316,0.005769525919602638,0.0023772199638187885,0.0004391606045899141,0.0027974435677447455,0.7647721130230949,0.21534460596351768,0.8235877752304077,0.9285425918449738,0.7224089840892702
10,42,241.6580548286438,7971.21875,0.0,0.0,0.8942857712649843,0.36046239966600896,0.26691168639363283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.166162781027094,2.357104591839208,1.4318597316741943,28.262999874921395,105.76380863889229,0.38290563826123986,0.3474883329236486,0.42095303535461426,5.530884134033105,0.003905104850149564,0.005630172696353708,0.002309087198227644,0.0004123147086507507,0.002619810799684678,0.7716457520611208,0.23182034210447328,0.833388090133667,0.8881711748082357,0.717084409436211
