epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_tv,train_loss_grad,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,240.12807202339167,7978.87255859375,0.0,0.0,1.3248759513836728,0.6447521083567892,0.6801238401749868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7040437772467003,2.737009731404654,1.858040452003479,38.30274654714486,133.19267893458624,0.1486355840654492,0.3896704023156648,0.1964516639709472,22.68873637464675,0.005288189741404,0.0068396262525334,0.0032465851400047,0.0006242885342563,0.0032269900714411,0.6784788826371472,0.2179765635843676,0.7298582792282104,1.0496568429551878,0.930643518571742
2,42,238.30896854400635,7976.71630859375,0.0,0.0,0.9715296215417852,0.5288592358335164,0.4426703845199786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.541628770781384,2.651484704880429,1.7322509288787842,34.50647248396068,123.52269585047203,0.2556570118889483,0.2973778257043765,0.2798164486885071,11.182882519176424,0.0048580516977138,0.0066741224726257,0.0029878444038331,0.0005982958311011,0.0039989626355839,0.698087976327287,0.226185311998724,0.7521244287490845,1.4129995962858295,0.8676193866413087
3,42,238.43791222572327,7977.46630859375,0.0,0.0,0.8787939255697685,0.4742001492345922,0.4045937770243847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.392909151497818,2.5390866245357824,1.592030048370361,32.16257902414294,108.059585081824,0.2742828760457029,0.4410140378480439,0.3361825346946716,11.465482438433588,0.0046666038919328,0.0063141303320814,0.0028356676921248,0.0005386045404556,0.003070737548887,0.7189688328585896,0.2135694217253834,0.776410698890686,0.9285425918449738,0.7974328580312431
4,42,238.3386616706848,7978.21630859375,0.0,0.0,0.8154130546670211,0.4358328125028138,0.3795802409759168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3108502881587167,2.4653738549713395,1.533619403839111,30.89763792551537,108.15543027792332,0.3322064014129885,0.3593789520923418,0.3694314360618591,6.459426725878078,0.0045325885215429,0.0060245779714285,0.0027789501473307,0.0004846818590466,0.0022011531948055,0.7313445982164946,0.2009486404087287,0.7834275960922241,0.6055712555510698,0.768199176993221
5,42,238.1416501998901,7977.87255859375,0.0,0.0,0.7801002904748993,0.4170439478122826,0.3630563424962559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.315795944153896,2.48926297787976,1.5382821559906006,30.69102578216029,107.50145531548738,0.3323144932210951,0.3414526742572288,0.365053653717041,6.782398062171982,0.0045091581152348,0.0061055813572017,0.0027640080079436,0.0005168701573621,0.0028271125756665,0.7259513011227031,0.2103353357897412,0.779521644115448,1.0496568429551878,0.7705230819992721
6,42,238.1123263835907,7971.46630859375,0.0,0.0,0.7500809610745554,0.4018064106100104,0.348274550464545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2792397388871826,2.4758387399669584,1.511308193206787,30.07602270674347,108.0024473731314,0.3556811244775559,0.3208084497460072,0.3900365233421325,5.813484053290271,0.0043642837273341,0.0059554163658893,0.002671159338206,0.0004926500619907,0.0027207872612761,0.7303159096138007,0.2135658290915102,0.7884601354598999,1.1303996770286635,0.7569896762724966
7,42,243.4330484867096,7972.8125,0.0,0.0,0.7149378002355353,0.38528254074438145,0.32965526003776746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2222889185291677,2.40001287422629,1.4647719860076904,29.4338067243698,107.84567956804459,0.3592360012464866,0.4647869056903984,0.40825849771499634,5.853855470327009,0.004284785357275366,0.005801626226466112,0.0026082652620971203,0.00045701167339041933,0.0022490797957414425,0.7495457211183741,0.20239201021908299,0.8052436113357544,0.8477997577714977,0.7336901256348938
8,42,241.47495007514954,7972.21875,0.0,0.0,0.6764181717350912,0.36779838786170815,0.3086197838020857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1684728951092254,2.3454439315357622,1.4241315126419067,29.405708465449678,120.87753274281472,0.37284031677592605,0.3848680419753905,0.4225168228149414,6.338312474767864,0.004147277678606995,0.005916770131363015,0.0024555004201829433,0.00047514954923547363,0.0033731828666530377,0.7526848194913899,0.21237632334494538,0.8107136487960815,1.0092854259184496,0.7132935065310448
9,42,241.63029265403748,7971.3125,0.0,0.0,0.6418544301671084,0.35370639919569236,0.28814803144673223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1414655349256835,2.3422411347490746,1.4129194021224976,27.72270037656144,102.95286381053393,0.3944724791946072,0.3731087767088566,0.43389350175857544,5.167541380702462,0.004035970945307721,0.005803139969467103,0.0023974250070750713,0.0004479988829613586,0.002854572408778022,0.7634065138461082,0.208988027457572,0.8239270448684692,1.0092854259184496,0.7076584135647863
10,42,241.61714911460876,7971.21875,0.0,0.0,0.614060224528518,0.3429874299863499,0.2710727941381494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1207376403390437,2.3281511904122927,1.3885085582733154,27.731322469620082,107.73996794901402,0.3969210826633532,0.3653654958547202,0.44515132904052734,5.651998385143318,0.00395595509722048,0.00568627473970038,0.0023611094802618027,0.0004209483604439642,0.0027400023030328116,0.7700530540139433,0.2270123664160639,0.8325886130332947,0.8881711748082357,0.6954348338767886
