epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_tv,train_loss_grad,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,240.4285295009613,7978.87255859375,0.0,0.0,1.3250763719541985,0.6448579607397745,0.6802184089329064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7045920617340022,2.737531898587099,1.858683943748474,38.3339432208908,133.2652254551479,0.1478847925057563,0.3906757787483262,0.1965467929840088,22.89059345983044,0.0052908420791321,0.0068437329951654,0.0032530142925679,0.0006248114720396,0.0032247474939331,0.6783303702893063,0.2181524775019625,0.7298324108123779,1.0092854259184496,0.930968479020521
2,42,238.43759202957156,7976.71630859375,0.0,0.0,0.9584062002492292,0.5173816752205626,0.4410245222243015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.489305828438924,2.62139556328161,1.6929231882095337,33.67079596055392,119.44001388955422,0.2737521648551362,0.313045164175335,0.3038746118545532,9.729511505853855,0.0048595722301648,0.0066623026005421,0.0029329042881727,0.0005949836745013,0.0037433853294767,0.6986965127996153,0.223931174466799,0.7514580488204956,1.4129995962858295,0.8479280462488532
3,42,238.4417779445648,7977.46630859375,0.0,0.0,0.8499546783962889,0.4516652428457421,0.3982894347662751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.346914159861943,2.5279551637969453,1.5820069313049316,31.83141172776464,122.1807419246066,0.3031397647418752,0.4427835858056653,0.3638572692871094,9.002825999192572,0.0045603058900008,0.0060478807316167,0.0027898368425667,0.0004980410667051,0.0024077264292021,0.725869042694352,0.2089010671279314,0.7800192832946777,0.8477997577714977,0.7923983840737492
4,42,238.2610785961151,7978.96630859375,0.0,0.0,0.7835367153706163,0.4162302418854058,0.3673064744833744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.282985321938282,2.453930199851833,1.5195631980895996,30.61217885233075,110.09593956038664,0.3443124614081461,0.3630131668177959,0.3817992806434631,6.257569640694388,0.0044519501565659,0.0059742589804199,0.0026700121816247,0.0004861560244063,0.0022903757832995,0.7340565385672176,0.2015865276852396,0.7870463132858276,0.6055712555510698,0.7611166051356122
5,42,238.25465726852417,7978.46630859375,0.0,0.0,0.739585487275983,0.395964542882104,0.3436209431342911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.254666837172182,2.4296807624435792,1.4949089288711548,29.615200926231413,105.21437488795569,0.3508299238555701,0.345366999737665,0.3883744478225708,6.580540976988292,0.0043961433085605,0.005907239712358,0.0026697020512074,0.0004730084717024,0.0023246340430165,0.7401643603811545,0.2019061075212705,0.7953066825866699,0.8477997577714977,0.7487893154611811
6,42,238.2133085727692,7979.46630859375,0.0,0.0,0.7022421894271218,0.3788590566916138,0.3233831326879763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.206799306172455,2.399117568053656,1.460117220878601,28.82677544963361,105.87838249677507,0.3752879435177719,0.343638027156298,0.414944052696228,5.692369802180056,0.0042378621552907,0.0058110011893615,0.0025549349375069,0.0004509872748965,0.0025706789027536,0.7500498588161214,0.2091328538643153,0.8077428340911865,0.8074283407347598,0.731336077908054
7,42,243.52796268463135,7972.0625,0.0,0.0,0.6718457141086055,0.3644793946919829,0.30736631958298327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.157554800788728,2.343803511384562,1.42203688621521,29.018670656163074,116.07614218548365,0.37440877996436234,0.46273949858956004,0.4243636727333069,6.0557125555106985,0.004139941996904247,0.005717254280433457,0.002486542798578739,0.00044205718098608206,0.0022929529228655626,0.7591177461413929,0.20600606815551922,0.818085789680481,1.0092854259184496,0.7122617145068944
8,42,241.4160716533661,7971.8125,0.0,0.0,0.6436992713519071,0.3529118189210907,0.2907874526922402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.143178155581058,2.333472963065178,1.4038732051849365,28.154627338918072,105.43549797319967,0.3897561188373635,0.3657353428503586,0.4374409317970276,5.490512716996367,0.004069497039609914,0.005826416396993441,0.0024124018382281065,0.0004584350905050985,0.003036092565158457,0.7598714557539131,0.2187165871458012,0.8220452070236206,0.9689140088817118,0.7031428035115823
9,42,241.55771613121033,7973.9375,0.0,0.0,0.6243130030434287,0.34510712180601544,0.27920588092845783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1153955970367067,2.30986706084759,1.3978413343429565,27.462066909528218,104.98379092868991,0.39795833315924384,0.3843885955219815,0.4401710629463196,5.288655631812677,0.0040145557113084865,0.00581557355476875,0.0023666871711611748,0.0004493194456083327,0.0028062801499092018,0.7655254106970145,0.21613567027412567,0.8268738389015198,0.8477997577714977,0.7001040107570589
10,42,241.63059043884277,7974.3125,0.0,0.0,0.6103290741048171,0.33992118194723053,0.2704078929418582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1179275694252455,2.3217477243447155,1.3956921100616455,27.60655794384716,105.56305679414568,0.3967387652175774,0.38659596379785044,0.44189953804016113,5.248284214775938,0.003980443751053759,0.005771795896653415,0.0023402299266308546,0.000438185224294722,0.0027726791710997326,0.7683130090256877,0.2233408766099424,0.8306570053100586,0.8881711748082357,0.6990161699941382
