epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_tv,train_loss_grad,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_eta,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,200.91944026947021,6693.99658203125,0.0,0.0,1.1633281210582982,0.5569702320787134,0.5852468451054282,0.0,0.0,0.0,0.0,0.0,0.0,0.02111104446978708,0.0,0.0,2.571523952313282,2.6694934268753827,1.7839369773864746,34.48733652658576,116.3366551102025,0.25211459083041216,0.28654582999721384,0.27822428941726685,11.303996770286636,0.015985273701756543,0.018584896427347744,0.010276973247528076,0.001946377053925781,0.007556295503844274,0.5823476506328699,0.2500968759021224,0.6261862516403198,2.4626564392410173,0.8971069753170013
2,42,198.9399220943451,6694.43408203125,0.0,0.0,0.9331147242961317,0.46157533686126817,0.4546896974530897,0.0,0.0,0.0,0.0,0.0,0.0,0.01684969340033675,0.0,0.0,2.4340845442643606,2.562603208087941,1.6464526653289795,31.523811384520034,103.46953604531,0.31070236645738203,0.2974138117695008,0.34411704540252686,7.347597900686314,0.015298515605617301,0.01890897472637853,0.009881168603897095,0.002053827164484822,0.010373877587148094,0.5911393392745362,0.2605828625444949,0.6414014101028442,2.866370609608397,0.8281669169664383
3,42,199.06220054626465,6694.18408203125,0.0,0.0,0.8609545348743883,0.42230930111624976,0.42270135480251037,0.0,0.0,0.0,0.0,0.0,0.0,0.01594388037934852,0.0,0.0,2.3186913668736366,2.48255476136359,1.5507218837738037,31.168419491068356,108.04033859419991,0.3143316778532189,0.36980533652341413,0.36563777923583984,9.04319741622931,0.014818033902139054,0.018421125459827846,0.009502384811639786,0.0018785846466621496,0.009893042959366886,0.6132173343777031,0.24517415096066203,0.6605952978134155,2.0993136859103756,0.7801121342927217
4,42,199.07530045509338,6693.43408203125,0.0,0.0,0.8140743635297772,0.39806720238933535,0.4007450158706312,0.0,0.0,0.0,0.0,0.0,0.0,0.015262144524901154,0.0,0.0,2.2951097733547576,2.446305290820336,1.5267199277877808,29.35092325863142,98.11307803116544,0.36207328508782877,0.27679540069984254,0.38930803537368774,5.288655631812677,0.014811505769481141,0.017609318777720852,0.009462924674153328,0.0018140194079932547,0.007357193951306822,0.6138239827519903,0.23230067987399888,0.6602955460548401,1.8167137666532096,0.768091426230967
5,42,199.09941744804382,6693.24658203125,0.0,0.0,0.7836363372620213,0.3843518154282699,0.38428417879618715,0.0,0.0,0.0,0.0,0.0,0.0,0.015000344484307739,0.0,0.0,2.2531447482141553,2.427811332758296,1.4940485954284668,29.2400101593268,101.2092258175788,0.35563487197104415,0.3354347654329242,0.39392024278640747,6.459426725878078,0.014361673900275726,0.017761331074869928,0.009138618595898151,0.0018167666108395444,0.008295925333262157,0.6170636363745602,0.26825026422478304,0.6663975715637207,2.4626564392410173,0.7515936070121825
6,42,199.04586219787598,6691.93408203125,0.0,0.0,0.7553528206009994,0.37056565733902763,0.37021251933046123,0.0,0.0,0.0,0.0,0.0,0.0,0.014574643517836952,0.0,0.0,2.2261369665614663,2.3930864810208967,1.4602882862091064,28.568135052630392,98.47705276769189,0.3725866195555892,0.3539687886358871,0.41391247510910034,5.894226887363747,0.014374258735354013,0.018068603058981808,0.009130660444498062,0.0018692715689516788,0.010836944425334302,0.6182975491353182,0.26064791958711986,0.6672570705413818,2.3011707710940654,0.7347094733268023
7,42,198.97662806510925,6692.24658203125,0.0,0.0,0.7191132329867788,0.3548383829933985,0.3500548393912673,0.0,0.0,0.0,0.0,0.0,0.0,0.014220010600256268,0.0,0.0,2.2119931832571025,2.3926001997078283,1.4593160152435303,28.48190607951803,99.28237170317138,0.3798234121521298,0.3805476334921322,0.4172077178955078,5.0060557125555105,0.014021317438026202,0.01712505221694545,0.008846012875437737,0.0017716260605454817,0.00760881003965601,0.6326031726504893,0.2743140464636352,0.6866589784622192,1.8167137666532096,0.734081014059484
8,42,199.10135650634766,6694.18408203125,0.0,0.0,0.6874070652363974,0.3417738337883729,0.3318330901518963,0.0,0.0,0.0,0.0,0.0,0.0,0.01380014276403809,0.0,0.0,2.1617560545730767,2.3356922701761333,1.4251890182495117,27.800806338023772,94.2627523802598,0.38412314162506517,0.3971349553046368,0.4326706528663635,5.692369802180056,0.013873636000620507,0.0174413163705304,0.008688265457749367,0.0017175482979392932,0.008096568280025794,0.6406751368668564,0.2747824882191585,0.6967014074325562,1.9378280177634235,0.7169386418536305
9,42,198.9469404220581,6694.93408203125,0.0,0.0,0.658829110138344,0.32925900534104313,0.31606741083200657,0.0,0.0,0.0,0.0,0.0,0.0,0.013502696193710112,0.0,0.0,2.14297793901777,2.3215661727586774,1.4188873767852783,27.341412217730984,93.32616988449803,0.3899467429134891,0.4589703459026607,0.44344717264175415,5.813484053290271,0.013704656053799384,0.017289977321770424,0.008737597614526749,0.0016932872603960532,0.008722969427941202,0.6485498860376132,0.2409144463052845,0.7010198831558228,1.6955995155429955,0.7138124871999025
10,42,198.89236164093018,6693.18408203125,0.0,0.0,0.633975499839874,0.3197379453045329,0.3009056512866484,0.0,0.0,0.0,0.0,0.0,0.0,0.013331902931567632,0.0,0.0,2.1457937670436222,2.3451185965087356,1.4091637134552002,27.625826390695128,96.12769029070502,0.40947772133576565,0.30670009550941485,0.45085668563842773,4.723455793298345,0.013449433752515894,0.016603396250463198,0.008625359274446964,0.0016462833522535307,0.007197624875242768,0.6419418773489418,0.30796835924318844,0.7109557390213013,2.7048849414614455,0.7088945363648236
