epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,237.21802592277527,8221.904296875,0.0,0.0,0.0495269200697755,0.0337105262549252,0.0158163937509796,0.0,0.0,0.0,0.0,0.0,0.0,3.458774717154675,4.02917701947977,2.464534282684326,60.52350526216378,402.1802212390331,-0.0733147316466043,0.4004328519856121,0.0294007658958435,46.79047234557933,0.0211464675566065,0.0219931402037175,0.0140287559479475,0.0033277945098704,0.0107796143310367,0.3029271072324938,0.4224812758834949,0.4244619011878967,16.310052482842146,1.2392815193161368
2,42,235.2071087360382,8220.935546875,0.0,0.0,0.0340325135702008,0.0231286968673435,0.0109038167444475,0.0,0.0,0.0,0.0,0.0,0.0,4.133178795671687,5.7998862365947055,2.6835620403289795,77.71794998488122,776.2487147189609,-0.1300590535446093,0.7301740896886569,0.0181607604026794,47.517157852240615,0.0173554767016857,0.0196042037804285,0.0110663566738367,0.0026141290774302,0.0081638821893997,0.4479272148038381,0.3717310437087563,0.5514081716537476,9.204683084376262,1.347314198501408
3,42,235.07654070854187,8218.873046875,0.0,0.0,0.0297696128386582,0.0196757407181642,0.0100938721591134,0.0,0.0,0.0,0.0,0.0,0.0,3.087902299919928,3.2961252392876657,2.1808884143829346,52.71143406719405,182.2815642333135,0.0421897825282285,0.5158486330176878,0.1372602581977844,32.943076301978195,0.0169864291751065,0.0196946889835124,0.0108179729431867,0.0025868937605159,0.0085720183019057,0.4626652909037467,0.3768581440519539,0.5640959143638611,8.195397658457813,1.0958531936630609
4,42,234.8735818862915,8220.216796875,0.0,0.0,0.0268835095210413,0.0171938015020302,0.0096897080279233,0.0,0.0,0.0,0.0,0.0,0.0,3.0314381337368563,3.2605895389442634,2.0744082927703857,49.130070415444,164.84876157559324,0.1201803589666087,0.5511352783275942,0.2225967645645141,24.828421477593864,0.0193376917164589,0.0221986394282832,0.0124797755852341,0.003047035721353,0.0107003338455237,0.3871251725842503,0.4446980622871091,0.501727819442749,13.03996770286637,1.04344403417781
5,42,234.8504979610443,8219.060546875,0.0,0.0,0.0254258125206452,0.0160434704490802,0.0093823421116698,0.0,0.0,0.0,0.0,0.0,0.0,3.674994375755229,4.316374651406092,2.39170241355896,57.281111739747125,244.1200772941919,0.0389574259868494,0.7538279276394325,0.2153215408325195,29.511505853855468,0.0157287617326679,0.018732557461982,0.0098878191784024,0.0024483776062266,0.0082519264199601,0.5070773805636382,0.3199091609930387,0.5875954627990723,6.21719822365765,1.2007951163686812
6,42,234.765052318573,8221.904296875,0.0,0.0,0.0244286098536787,0.015315203177349,0.0091134067149491,0.0,0.0,0.0,0.0,0.0,0.0,4.418677770598466,5.348047830143473,2.6792800426483154,70.16031516532317,273.32115074650306,-0.0872061086798272,0.9167356041447328,0.138569951057434,38.4739604360113,0.0167425131094814,0.0195904842082005,0.010632456280291,0.0024618089763882,0.0086439266830603,0.5086675972817258,0.3063002476096287,0.5807489156723022,6.257569640694388,1.3449562494643033
7,42,234.77437233924863,8220.591796875,0.0,0.0,0.023545486653488,0.0147359403298849,0.0088095462953811,0.0,0.0,0.0,0.0,0.0,0.0,3.385262747321896,3.953324048655331,2.2009334564208984,52.20319969078855,223.720497975112,0.1319920876163795,0.6176156092778751,0.2798393964767456,24.94953572870408,0.0157621239103695,0.0185357842523271,0.010014796629548,0.0023583872286984,0.0079079435397085,0.5343081794249035,0.2860157481883292,0.6023038625717163,4.723455793298345,1.1054741265252233
8,42,240.30892729759216,8209.37646484375,0.0,0.0,0.02257761903154698,0.014127568854241851,0.008450050209240433,0.0,0.0,0.0,0.0,0.0,0.0,3.262406033529574,3.7464296874821295,2.121426820755005,49.05292742133034,184.7321377815239,0.14565571568692745,0.6977913044936921,0.2888296842575073,23.576907549454987,0.015014179343734892,0.017769702607341526,0.009511541575193405,0.002237623996886385,0.007669740310056977,0.5490696956709984,0.2832532420662051,0.6179919838905334,4.481227291077917,1.0654691811650991
9,42,238.27148723602295,8207.75146484375,0.0,0.0,0.021737061533037175,0.013604355442740225,0.00813270609103963,0.0,0.0,0.0,0.0,0.0,0.0,2.9402511053623503,3.3172478533375145,1.9587665796279907,44.163438204186185,160.9977901847704,0.22061494232234716,0.5497540698965461,0.32442009449005127,17.561566410981026,0.015508476217302915,0.018422248969587208,0.009747205302119255,0.0023371234715244575,0.00802128043518423,0.5184378837643971,0.3616809354182393,0.6176924705505371,7.630197819943479,0.984256892465055
10,42,238.31992435455322,8205.50146484375,0.0,0.0,0.021093836484961152,0.013235021136000016,0.007858815373469625,0.0,0.0,0.0,0.0,0.0,0.0,2.828436774837487,3.193088706630912,1.8792470693588257,43.863477999294744,162.97342427306765,0.22346485587537024,0.5886183778750502,0.33427196741104126,18.08639483245862,0.015270195433077187,0.018379542069546034,0.009551167488098145,0.002268745790362378,0.007801170072203091,0.539368361896404,0.33578975432999375,0.627166211605072,6.21719822365765,0.9443991184234619
