epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_tv,train_loss_grad,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_eta,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,204.6759102344513,7141.30908203125,0.0,0.0,1.2401710090834939,0.5999848228512388,0.6183711738582623,0.0,0.0,0.0,0.0,0.0,0.0,0.021815011969973975,0.0,0.0,2.599398188521581,2.6890962845738264,1.789457082748413,35.67095308506377,125.23679048639046,0.22103360010146325,0.33063045618953724,0.2554174065589905,15.058538554703272,0.016387417446422442,0.018738331963826245,0.010707237757742405,0.0020462177263685846,0.007525298660104945,0.5670925747448271,0.2513727645416206,0.611283540725708,2.4626564392410173,0.9000821602530777
2,42,202.68729662895203,7141.30908203125,0.0,0.0,0.9860350676890955,0.49267796176282225,0.4761630532463962,0.0,0.0,0.0,0.0,0.0,0.0,0.017194054489791916,0.0,0.0,2.4499312682505163,2.5763585649991536,1.6466879844665527,32.44818840126735,107.65538546376033,0.29263134194228935,0.3199431927930158,0.32841336727142334,8.84134033104562,0.01527552387018355,0.01854367111309548,0.009936129674315453,0.0020109205039387664,0.0089737143295142,0.5829911750557445,0.2669081043839264,0.6393963694572449,3.229713362939039,0.8283120570704341
3,42,202.8084044456482,7140.62158203125,0.0,0.0,0.9030820996377267,0.4453368246365202,0.44152709019431274,0.0,0.0,0.0,0.0,0.0,0.0,0.016218185121047963,0.0,0.0,2.331030349582163,2.5002012239867044,1.5475480556488037,30.678178083525452,101.43619544498345,0.30825138693622006,0.4194000462450675,0.3664001226425171,8.962454582155834,0.014869122821346059,0.01813055928821616,0.009745736606419086,0.0018400649296373942,0.00913232435317163,0.6086633849586746,0.254986691836391,0.6594750881195068,2.624142107387969,0.7786468961276114
4,42,202.82343935966492,7139.40283203125,0.0,0.0,0.8523321819077269,0.417111397502525,0.4197071252637313,0.0,0.0,0.0,0.0,0.0,0.0,0.01551365920682653,0.0,0.0,2.3009984514506465,2.4656566369042037,1.5250318050384521,30.061999441814486,108.71531024943118,0.3510319808340862,0.3260192628892818,0.3839315176010132,5.651998385143318,0.01478112876689912,0.017870372748580513,0.00948336161673069,0.0017949370441484346,0.008317984144539667,0.6178496106285986,0.24046225323641326,0.6613001823425293,1.8570851836899476,0.7672575833275914
5,42,202.79930090904236,7140.93408203125,0.0,0.0,0.8171948405544153,0.40009417426453064,0.40198913967590394,0.0,0.0,0.0,0.0,0.0,0.0,0.015111526279402763,0.0,0.0,2.2869376925579363,2.472413920809584,1.510054588317871,29.814953107569792,102.95741467110882,0.35596786331735797,0.2841676968002649,0.3828495740890503,5.692369802180056,0.014343594457732523,0.017693038008552417,0.009251948446035385,0.0017943047455781093,0.008726024236048166,0.620807602923389,0.28069557844725723,0.6734524965286255,2.1800565199838515,0.7596532683819532
6,42,202.80624675750732,7142.87158203125,0.0,0.0,0.7901354469180677,0.3867296230707442,0.38860477195782334,0.0,0.0,0.0,0.0,0.0,0.0,0.014801050758396278,0.0,0.0,2.2429429133184673,2.434297220670846,1.4793031215667725,28.96967807449596,100.3241524431566,0.37144929543588734,0.32575063207949867,0.4045252203941345,5.0867985466289865,0.01418090951817447,0.018035213753130958,0.009083423763513565,0.0018596543426356886,0.011883811500133318,0.6217008610381972,0.2736787902882086,0.6732475161552429,2.583770690351231,0.744193272665143
7,42,202.9160852432251,7142.96533203125,0.0,0.0,0.7603476337458719,0.37253377552142747,0.37337548258392056,0.0,0.0,0.0,0.0,0.0,0.0,0.014438374403959208,0.0,0.0,2.2049149715469087,2.3907560191926134,1.4516324996948242,28.843913766388642,101.04248505775402,0.37654513642823545,0.3892311910751414,0.4162169098854065,4.844570044408559,0.01404193728726258,0.017256149150027218,0.009059182368218899,0.001759984420511431,0.008235523074937282,0.6334087833744122,0.25786645634341593,0.6902360320091248,2.2607993540573275,0.7303458410315216
8,42,202.62003540992737,7136.93408203125,0.0,0.0,0.7320803469447998,0.3603775148804298,0.3575965331026622,0.0,0.0,0.0,0.0,0.0,0.0,0.014106299435909974,0.0,0.0,2.1591892912292074,2.3400646090224324,1.4128497838974,28.316102841052444,101.80501148680963,0.38171041432916997,0.3660261843437289,0.4301760792732239,6.0557125555106985,0.013843541805493109,0.01715831883164837,0.008735771290957928,0.0016426453577518265,0.007846315219183051,0.6479382902612405,0.25824909734846974,0.6966044902801514,1.7763423496164714,0.7107927775941789
9,42,202.60943984985352,7141.49658203125,0.0,0.0,0.706972075421274,0.34989509906209826,0.34322898154053394,0.0,0.0,0.0,0.0,0.0,0.0,0.013847995474429555,0.0,0.0,2.1682738110221558,2.350290377312924,1.4348301887512207,27.810594917198216,96.96404968349363,0.39033652858287515,0.3484377876829831,0.426644504070282,5.127169963665724,0.013718795277416852,0.01712024719907006,0.0087351119145751,0.0016511526936113625,0.008604131661336565,0.6498227083350941,0.24042827131035266,0.6992484331130981,1.8570851836899476,0.7217826503328979
10,42,202.6411747932434,7143.99658203125,0.0,0.0,0.6859995885328813,0.3410047002528843,0.33137628859119933,0.0,0.0,0.0,0.0,0.0,0.0,0.013618601512823379,0.0,0.0,2.1364995141317755,2.3439043249949303,1.404181957244873,27.78537646008503,99.47843838394755,0.40856684503124086,0.33171429128561414,0.45016545057296753,4.763827210335083,0.013387625978276965,0.01680441488518403,0.008466217666864395,0.0016686235009729586,0.00818736799744049,0.6433725185966029,0.29761997502368576,0.7094587683677673,2.5030278562777553,0.7063240874558687
