epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,111.38941764831543,7137.81103515625,0.0,0.0,0.07487875924774232,0.050695840627737014,0.024182918701462077,0.0,0.0,0.0,0.0,0.0,0.0,4.34660399687238,5.201658083623565,2.9214797019958496,76.35357566334899,338.27579712471896,-0.05040215106883421,0.5622819311249269,0.05994528532028198,44.49307075127644,0.029453624640221224,0.0215448646604268,0.02464466169476509,0.003659352152545765,0.007525359322197979,0.31514659043561793,0.38976881038638406,0.4195500612258911,14.806710430342815,1.4730621818453074
2,42,109.65826034545898,7140.15478515625,0.0,0.0,0.04004733449081638,0.025489408218738983,0.01455792621777287,0.0,0.0,0.0,0.0,0.0,0.0,4.350440513579016,5.378558338566359,2.8712825775146484,77.08931782614931,363.0236573858517,0.005641382337051269,0.6257782706704641,0.12740439176559448,36.2509117432531,0.024376430956733072,0.022356538548890414,0.019938288256525993,0.003072917033866416,0.008726147202905772,0.3759001896035315,0.5137615038205733,0.5214579105377197,14.514952589350838,1.4456104328855872
3,42,109.71787738800049,7136.31103515625,0.0,0.0,0.03398647116437424,0.02056555375565419,0.013420917419580954,0.0,0.0,0.0,0.0,0.0,0.0,3.367003317164253,3.672162960620348,2.2881603240966797,56.05150653645233,202.1650193223081,0.21026078446949598,0.3929343074954192,0.27984994649887085,20.20423048869438,0.022588896850870555,0.019343930705074244,0.018687577918171883,0.0027686576640074843,0.007190920713196823,0.43348356092350054,0.450032408452329,0.5555121898651123,11.159737417943107,1.1534239510074258
4,42,109.71573090553284,7135.96728515625,0.0,0.0,0.030743361719539144,0.01793212642616242,0.012811235312383307,0.0,0.0,0.0,0.0,0.0,0.0,3.484935878267217,3.7142152297451445,2.3239431381225586,51.258235881522154,160.98537120626546,0.2725526064438684,0.3738388038336831,0.34144747257232666,14.22319474835886,0.026524588937805266,0.022198409749131162,0.021549854427576065,0.003237964542259952,0.00804199844585811,0.3588395884748274,0.5036144047910135,0.5040273666381836,15.609044493070751,1.1727464962750673
5,42,109.75520205497742,7137.71728515625,0.0,0.0,0.02870040893576409,0.016458537931887993,0.012241870993015196,0.0,0.0,0.0,0.0,0.0,0.0,3.324064743390577,3.602743151833709,2.196197509765625,50.465055372915145,163.04003815565724,0.28700619192561644,0.4460683628540701,0.3815969228744507,15.171407731582786,0.023525782438714456,0.021305140952164174,0.01911240816116333,0.0028296989616406914,0.008072206224837382,0.4222922245139714,0.4860501589115815,0.5524649024009705,13.347921225382933,1.1076549589633942
6,42,109.71216773986816,7135.71728515625,0.0,0.0,0.027306335959203388,0.015532356154705797,0.011773979739332164,0.0,0.0,0.0,0.0,0.0,0.0,3.5184368815878986,3.840942556837986,2.3241448402404785,49.77200948689092,159.33863036926218,0.31727275441459807,0.4001999346074876,0.3983761668205261,12.691466083150985,0.021676924146397988,0.017293373389598684,0.017691288143396378,0.0024084016875970922,0.005815722331578218,0.5027761977141483,0.37294762490568717,0.6096711158752441,9.773887673231219,1.1709180641919374
7,42,109.73391842842102,7137.71728515625,0.0,0.0,0.02633344097491951,0.014849522107609333,0.011483918807575202,0.0,0.0,0.0,0.0,0.0,0.0,3.4984397321591665,3.805895231474082,2.3477606773376465,50.82257641947955,157.92006732057425,0.27427588393443003,0.4812248797801194,0.38581401109695435,15.973741794310722,0.022704671303633624,0.020758128621934695,0.01834697648882866,0.002675855259422893,0.007860121370081102,0.4596787508520047,0.4420421065210865,0.5785242319107056,10.722100656455142,1.1830538269132376
8,42,109.7073028087616,7137.06103515625,0.0,0.0,0.025477383964567422,0.01435674628671856,0.011120637680564087,0.0,0.0,0.0,0.0,0.0,0.0,3.309787108733391,3.650063992021955,2.1998472213745117,49.275148527536416,164.15400644080196,0.31235442037220684,0.47597337750488344,0.41306543350219727,14.806710430342815,0.021259821911650167,0.018144436518823352,0.017467329278588295,0.0023275575690574605,0.006216640335951045,0.5241123273544812,0.3769386253225621,0.6248881816864014,8.533916849015318,1.10865727532655
9,42,109.70218992233276,7139.71728515625,0.0,0.0,0.02479587749472165,0.013974145068393331,0.010821732437189223,0.0,0.0,0.0,0.0,0.0,0.0,3.247515848002931,3.397260474593068,2.181434392929077,43.71596626937933,131.40759346383962,0.35234175338786855,0.3878255531184246,0.4236716032028198,12.107950401167031,0.02125432370227159,0.018106863468090657,0.017378950491547585,0.0023728758650339065,0.00603853320210893,0.5110640795799523,0.3943805597438789,0.6213659048080444,8.60685630926331,1.0994066717103124
10,42,109.68654537200928,7137.37353515625,0.0,0.0,0.024216699009386514,0.013625535530203807,0.010591163492758838,0.0,0.0,0.0,0.0,0.0,0.0,2.9058076177392884,2.9782646223959586,1.9448446035385132,43.7223526134708,135.18775369543928,0.36407892287516574,0.37500345988563105,0.4458537697792053,11.37855579868709,0.01977820679739683,0.017598233619674348,0.01589154452085495,0.0022910674565341494,0.006681176038699337,0.5477714026869865,0.35244296079368154,0.6415376663208008,7.512764405543399,0.9803680740296841
11,42,109.67077589035034,7138.27978515625,0.0,0.0,0.023608734108963792,0.013230647158648808,0.010378086958460661,0.0,0.0,0.0,0.0,0.0,0.0,3.0269264868908254,3.1204190692967715,2.007145404815674,41.98184139990159,125.63004808553693,0.3901664548160211,0.34178313308210573,0.46266406774520874,9.919766593727207,0.020764972118254586,0.019692268592123266,0.016742514446377754,0.002466224944028948,0.008542875838314479,0.5148101214680856,0.43734431088902737,0.6384277939796448,8.60685630926331,1.0119439596310258
12,42,109.71444416046143,7140.71728515625,0.0,0.0,0.023162627212551176,0.013001625686775318,0.010161001561073798,0.0,0.0,0.0,0.0,0.0,0.0,3.059001733848511,3.237905730927964,2.0333023071289062,44.135934098360124,137.08729627683869,0.35099107053139017,0.4392121036665798,0.458049476146698,13.129102844638949,0.020491125660233152,0.017225230085085818,0.016291936859488487,0.00232572665386782,0.005491777681733408,0.5122495110151456,0.43244594326695845,0.633476734161377,8.023340627279358,1.0247971219941974
13,42,109.69215130805969,7136.21728515625,0.0,0.0,0.022657608526484612,0.012714890545945474,0.009942718000903334,0.0,0.0,0.0,0.0,0.0,0.0,3.007186039673595,3.225315659723453,2.00823712348938,44.7411310961504,142.01634861469537,0.3538033514019349,0.4317112930470482,0.4632534384727478,13.129102844638949,0.019826182518847272,0.017487613834221066,0.015583719126880169,0.0021573786977405543,0.005431215238606931,0.5582899375174013,0.3551785471273071,0.6598896980285645,6.929248723559446,1.01191042130813
14,42,109.71706485748291,7137.15478515625,0.0,0.0,0.022245481881820774,0.012445160521753675,0.009800321328841998,0.0,0.0,0.0,0.0,0.0,0.0,2.900422679017183,3.0044664641943237,1.9398068189620972,42.181162394587304,125.46306774866714,0.38326275605167637,0.39871677366473396,0.4739387035369873,10.86797957695113,0.019659790812032386,0.017124382079769972,0.015553747303783894,0.0021806495241303175,0.005508752875354784,0.5576481570039328,0.3595032622958758,0.6584722995758057,7.2210065645514225,0.9776802831329405
15,42,109.68104457855225,7136.46728515625,0.0,0.0,0.021863333479047863,0.012240139707792605,0.009623193832347849,0.0,0.0,0.0,0.0,0.0,0.0,3.26446532832498,3.60837661156553,2.127788543701172,46.66119071326533,151.69047804785217,0.3538237488852375,0.44662742729584737,0.4612433910369873,12.545587162654998,0.02006025130559577,0.018271797943065403,0.01624622382223606,0.002251026383628195,0.006442875088999061,0.5542608094771877,0.37396602421826547,0.6640892028808594,7.658643326039387,1.072017383761704
