epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_tv,train_loss_grad,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_eta,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,199.59368896484375,6686.8603515625,0.0,0.0,1.1378906159119553,0.5503608983669555,0.5875297167369623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5700741318288736,2.6610445244108054,1.7649153470993042,34.57020358361098,118.7619626007413,0.2516857300451507,0.28920540788724575,0.2796834111213684,11.465482438433588,0.015925539486328473,0.019015991222865822,0.010276054963469505,0.0020181626644663834,0.008905238334464728,0.5805594284880002,0.252169709916503,0.6258947253227234,2.5433992733144932,0.8875957010313869
2,42,197.76601004600525,6688.5478515625,0.0,0.0,0.9221024822200125,0.4652560334266468,0.456846448745834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.441033951019237,2.5714552334563785,1.6443675756454468,32.08874105554354,107.78818965595036,0.3085628893522664,0.2772438432548899,0.3393392562866211,7.42834073475979,0.01530060163618911,0.01855453932771846,0.009791895747184753,0.001992957288033843,0.009047531229095298,0.5930609701138906,0.2578845325446133,0.642475426197052,2.9874848607186113,0.8270797356963158
3,42,197.82505798339844,6686.8603515625,0.0,0.0,0.8493100803054311,0.4244453917469895,0.42486468746521444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.333161392319477,2.5055662950248947,1.5384238958358765,31.32924880832556,107.10571204936065,0.3134597131789188,0.34869293047564615,0.3592795729637146,9.325797335486476,0.014790503340464974,0.01835018621307048,0.009465650655329227,0.0018587356516354262,0.010086569953128347,0.613351299606796,0.24989342529184463,0.66131591796875,2.0993136859103756,0.7739447732456028
4,42,197.76317715644836,6687.5478515625,0.0,0.0,0.8023692570044474,0.3986369519475164,0.40373230479550704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3130181940188983,2.4758605857203655,1.5132783651351929,30.05783457430743,101.94501741899451,0.35393207666129894,0.2965817610471597,0.3850957155227661,5.813484053290271,0.014823460508016497,0.017417553525120345,0.009635137394070625,0.0017348685337958206,0.0066187688499540305,0.6196471411805505,0.23256193525831298,0.6632256507873535,1.5341138473960436,0.7614567512646317
5,42,197.74000120162964,6689.0478515625,0.0,0.0,0.7727748588131566,0.38427650417532455,0.3884983540912184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.264609264341462,2.456810080915393,1.4904592037200928,29.551394968857213,104.5274764519583,0.36185499781507324,0.33822643517966255,0.4017660617828369,5.813484053290271,0.014377948637744565,0.017488823650129787,0.009114603511989117,0.001829892961315203,0.007694483753464697,0.6116270421972956,0.2604870642205763,0.6616480350494385,2.5433992733144932,0.749786903616041
6,42,197.73217272758484,6687.0478515625,0.0,0.0,0.7451194121696922,0.370903558945922,0.37421585331883345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2165451112790215,2.4065374372355373,1.4668474197387695,29.007587119664162,105.29890189170965,0.37071453177452474,0.3360140949362437,0.40978217124938965,5.934598304400485,0.014332938100738457,0.01816587204274616,0.009079568088054657,0.0019179488999960428,0.012047612953093223,0.6093933059411709,0.3515660927409584,0.6658282279968262,2.3819136051675414,0.7379634939134121
7,42,197.78616619110107,6687.2978515625,0.0,0.0,0.7030048238698755,0.3529381933822586,0.35006663022619305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1957507272373897,2.3775100794238204,1.443593978881836,28.519468816235527,99.146141583855,0.3849566531219837,0.3373733208508418,0.42275333404541016,5.167541380702462,0.013939136004216968,0.017231482284420795,0.008866019546985626,0.0017176786318970144,0.008523279461231548,0.6392708000849946,0.262947630764981,0.6968816518783569,2.0993136859103756,0.7262299992144108
8,42,197.6904227733612,6689.7978515625,0.0,0.0,0.6518430402309321,0.33128263053901646,0.32056041033359234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1389376646713125,2.317892538733072,1.4088181257247925,27.6985744071612,95.69619477809864,0.3886447526006194,0.36591928204518437,0.44141286611557007,6.015341138473961,0.013633999988222574,0.01727028500081717,0.008538223803043365,0.0017001317651432072,0.009577316303690233,0.6471452189637231,0.31790507552672975,0.702580451965332,1.6955995155429955,0.7086781747639179
9,42,197.62226819992065,6688.5478515625,0.0,0.0,0.5987273477481313,0.31047837911515336,0.28824896808636435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.099112998579129,2.298886321235514,1.3770455121994019,26.89577557738317,97.10321639477696,0.4054715360755828,0.3654343729821197,0.45621931552886963,5.571255551069843,0.013272113594435964,0.017137983749138434,0.008444353006780148,0.0016806961454638451,0.011356907529482473,0.6555666680243596,0.2603366129447618,0.7152669429779053,1.6552280985062575,0.692744932603091
10,42,197.69447374343872,6689.2978515625,0.0,0.0,0.5545810147335655,0.2948992228346388,0.2596817920890531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0867879451355917,2.298869214169102,1.3719322681427002,27.039076759818048,99.15854162207087,0.40920971784564725,0.36298100172114434,0.45862144231796265,5.813484053290271,0.013080005850387247,0.01688615819847913,0.008151146583259106,0.001637129334076288,0.010634355282915738,0.6546568649643894,0.396908731019432,0.725096583366394,2.0993136859103756,0.6900417073629797
