epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_tv,train_loss_grad,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_eta,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,200.73069739341736,6693.05908203125,0.0,0.0,1.1633281210582982,0.5569702320787134,0.5852468451054282,0.0,0.0,0.0,0.0,0.0,0.0,0.02111104446978708,0.0,0.0,2.571523952313282,2.6694934268753827,1.7839369773864746,34.48733652658576,116.3366551102025,0.25211459083041216,0.28654582999721384,0.27822428941726685,11.303996770286636,0.015985273701756543,0.018584896427347744,0.010276973247528076,0.001946377053925781,0.007556295503844274,0.5823476506328699,0.2500968759021224,0.6261862516403198,2.4626564392410173,0.8971069753170013
2,42,198.81693863868713,6693.93408203125,0.0,0.0,0.9331147242961317,0.46157533686126817,0.4546896974530897,0.0,0.0,0.0,0.0,0.0,0.0,0.01684969340033675,0.0,0.0,2.4340845442643606,2.562603208087941,1.6464526653289795,31.523811384520034,103.46953604531,0.31070236645738203,0.2974138117695008,0.34411704540252686,7.347597900686314,0.015298515605617301,0.01890897472637853,0.009881168603897095,0.002053827164484822,0.010373877587148094,0.5911393392745362,0.2605828625444949,0.6414014101028442,2.866370609608397,0.8281669169664383
3,42,198.9278643131256,6695.12158203125,0.0,0.0,0.8609545348743883,0.42230930111624976,0.42270135480251037,0.0,0.0,0.0,0.0,0.0,0.0,0.01594388037934852,0.0,0.0,2.3186913668736366,2.48255476136359,1.5507218837738037,31.168419491068356,108.04033859419991,0.3143316778532189,0.36980533652341413,0.36563777923583984,9.04319741622931,0.014818033902139054,0.018421125459827846,0.009502384811639786,0.0018785846466621496,0.009893042959366886,0.6132173343777031,0.24517415096066203,0.6605952978134155,2.0993136859103756,0.7801121342927217
4,42,198.99529719352722,6693.74658203125,0.0,0.0,0.8140743635297772,0.39806720238933535,0.4007450158706312,0.0,0.0,0.0,0.0,0.0,0.0,0.015262144524901154,0.0,0.0,2.2951097733547576,2.446305290820336,1.5267199277877808,29.35092325863142,98.11307803116544,0.36207328508782877,0.27679540069984254,0.38930803537368774,5.288655631812677,0.014811505769481141,0.017609318777720852,0.009462924674153328,0.0018140194079932547,0.007357193951306822,0.6138239827519903,0.23230067987399888,0.6602955460548401,1.8167137666532096,0.768091426230967
5,42,198.9539020061493,6694.24658203125,0.0,0.0,0.7836363372620213,0.3843518154282699,0.38428417879618715,0.0,0.0,0.0,0.0,0.0,0.0,0.015000344484307739,0.0,0.0,2.2531447482141553,2.427811332758296,1.4940485954284668,29.2400101593268,101.2092258175788,0.35563487197104415,0.3354347654329242,0.39392024278640747,6.459426725878078,0.014361673900275726,0.017761331074869928,0.009138618595898151,0.0018167666108395444,0.008295925333262157,0.6170636363745602,0.26825026422478304,0.6663975715637207,2.4626564392410173,0.7515936070121825
6,42,198.92805361747742,6694.18408203125,0.0,0.0,0.7553528206009994,0.37056565733902763,0.37021251933046123,0.0,0.0,0.0,0.0,0.0,0.0,0.014574643517836952,0.0,0.0,2.2261369665614663,2.3930864810208967,1.4602882862091064,28.568135052630392,98.47705276769189,0.3725866195555892,0.3539687886358871,0.41391247510910034,5.894226887363747,0.014374258735354013,0.018068603058981808,0.009130660444498062,0.0018692715689516788,0.010836944425334302,0.6182975491353182,0.26064791958711986,0.6672570705413818,2.3011707710940654,0.7347094733268023
7,42,199.0090208053589,6694.43408203125,0.0,0.0,0.7122380192580215,0.3520699669347045,0.3460549432219881,0.0,0.0,0.0,0.0,0.0,0.0,0.014113110468605536,0.0,0.0,2.205575947908081,2.3843417213977234,1.452587604522705,28.416385236090473,99.62166134395355,0.384081146098165,0.3631262162477147,0.418895959854126,4.602341542188131,0.014006917962974947,0.017288014455799257,0.00889253057539463,0.001786379149113982,0.00813151833060867,0.6344169088799866,0.2565227257778615,0.6904484033584595,2.018570851836899,0.7307400675490499
8,42,198.84157800674438,6692.24658203125,0.0,0.0,0.6605234914704373,0.3310168249089942,0.3160047502846619,0.0,0.0,0.0,0.0,0.0,0.0,0.01350191383038839,0.0,0.0,2.1399171265134673,2.3190320438794867,1.4049317836761475,27.524694563221303,96.82439930390376,0.3920990091973752,0.3771946658244738,0.43975138664245605,5.651998385143318,0.013578072587680673,0.01703495495044717,0.008583642542362213,0.0016736557319509309,0.007962607271689843,0.6472195311087392,0.26336625256874663,0.7053261399269104,1.8570851836899476,0.7067577131092548
9,42,198.80117440223694,6693.93408203125,0.0,0.0,0.6061964097300595,0.3092910971320227,0.28394255617208647,0.0,0.0,0.0,0.0,0.0,0.0,0.012962756080603438,0.0,0.0,2.102790113151236,2.312111417562023,1.3808434009552002,26.84936325167252,96.8445219597221,0.403136144783596,0.463300835065012,0.4564446806907654,5.530884134033105,0.013249071779064751,0.01689423669761593,0.00842317659407854,0.00160821581081518,0.00836210548429229,0.6607205758760858,0.2724405070904529,0.7213355302810669,1.8974566007266855,0.6946332887746394
10,42,198.88171339035034,6693.18408203125,0.0,0.0,0.5619105845452116,0.2935575086154056,0.2557484841232665,0.0,0.0,0.0,0.0,0.0,0.0,0.012604591095050651,0.0,0.0,2.0842305818060542,2.2963058387259165,1.3667724132537842,26.73830101470801,96.8272689426468,0.4097973540467411,0.40994774675281653,0.463204562664032,5.288655631812677,0.013053152667195716,0.016688956654038366,0.008214887231588364,0.001595534027535193,0.008299590021755773,0.6554423238078961,0.44426172465059877,0.7252905368804932,2.058942268873637,0.6874936502426863
