epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_tv,train_loss_grad,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_eta,train_loss_scalar,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,191.12746262550354,7141.3330078125,0.0,0.0,1.1172206139972067,0.5129941677435851,0.5895357414188548,0.0,0.0,0.0,0.0,0.0,0.0,0.014690705313960202,0.0,0.0,0.0,2.7660852303584313,2.783939541457296,1.919026255607605,38.58786174055822,132.60784223264616,0.20801883673080365,0.2850485372151605,0.23372769355773926,17.898832684824903,0.013763478585246909,0.013013826002814784,0.009986496530473232,0.0012322893657926784,0.0031619897312857577,0.5630611117866408,0.2552480121750232,0.6093282699584961,2.5507998270644183,0.9645063760690391
2,42,189.20235180854797,7144.2080078125,0.0,0.0,0.8919400537115896,0.4282731677731897,0.4532493946898697,0.0,0.0,0.0,0.0,0.0,0.0,0.010417490624862476,0.0,0.0,0.0,2.5449160287487675,2.6414017841628565,1.7241919040679932,35.23297770953686,119.15506888120287,0.2789501256619085,0.35081168042466343,0.324088454246521,10.462602680501513,0.012737973247175788,0.012081444169471755,0.00909655261784792,0.0011666948715181205,0.003079932295373968,0.5849696671710198,0.2609783278556997,0.6385523080825806,3.4587116299178557,0.8666442283429205
3,42,189.30657267570496,7144.8017578125,0.0,0.0,0.8144380606137789,0.38490760802713214,0.42011613061285424,0.0,0.0,0.0,0.0,0.0,0.0,0.009414322548506097,0.0,0.0,0.0,2.51179739293009,2.683890333171404,1.6731362342834473,33.986018020473665,111.41587162009431,0.3260929761281325,0.32544056216905215,0.361952543258667,7.003891050583658,0.012316552887174837,0.01212517082376743,0.008884691633284092,0.0011086436796931577,0.0033319768853435384,0.600748444809524,0.26223540073778207,0.6497493982315063,2.7237354085603114,0.8410104629583657
4,42,189.32601737976074,7142.2392578125,0.0,0.0,0.7643771930637523,0.3579530083725595,0.39767012086688963,0.0,0.0,0.0,0.0,0.0,0.0,0.008754063826691137,0.0,0.0,0.0,2.420693884943916,2.5729126486491105,1.6218510866165161,32.65774626024808,111.48016955667944,0.34919970810181433,0.3219557322995385,0.3817152976989746,5.577172503242543,0.012753700147079118,0.012391925532829624,0.009149226360023022,0.0010897782200124137,0.003178463325301155,0.6154348397997103,0.2299969474580586,0.6573411822319031,1.556420233463035,0.8155001564882696
5,42,189.31043791770935,7141.6142578125,0.0,0.0,0.7325025618585765,0.34317513138819966,0.3810601124906132,0.0,0.0,0.0,0.0,0.0,0.0,0.008267319732560561,0.0,0.0,0.0,2.339222720573333,2.4867557401158122,1.5551278591156006,30.665145239487156,101.99714967724302,0.363868742859111,0.3385939185371296,0.4010416269302368,5.447470817120623,0.011822964997231917,0.011669188943236453,0.008484162390232086,0.001066233471820912,0.003243152595760088,0.6153588042442695,0.259438624739257,0.6692776679992676,2.853437094682231,0.7818060107529163
6,42,189.42091488838196,7141.2705078125,0.0,0.0,0.7072939770343977,0.32966654782111826,0.36959934081786716,0.0,0.0,0.0,0.0,0.0,0.0,0.008028087979899004,0.0,0.0,0.0,2.307957737268924,2.483685736066696,1.5218124389648438,30.846841333376005,107.28909212698709,0.36438192836247735,0.49205146649099485,0.41182857751846313,5.750108084738435,0.012013497358325739,0.011785531922016609,0.008680830709636211,0.001045791769168159,0.0032440220940373977,0.6246125023188758,0.25051929751607616,0.6739936470985413,2.248162559446606,0.76524663483724
7,42,189.25023889541626,7143.6455078125,0.0,0.0,0.6722113192081451,0.3141419869966996,0.3503595393182885,0.0,0.0,0.0,0.0,0.0,0.0,0.007709792686594475,0.0,0.0,0.0,2.266268332799276,2.451814095347969,1.5116506814956665,31.0710908886741,118.72520282430857,0.37736920162655296,0.3931440323128849,0.42894482612609863,6.398616515348032,0.01145009536368505,0.0113021439773658,0.008137717843055725,0.0010095835051565322,0.0030383960775027864,0.639008676083223,0.255863798552622,0.6939713954925537,2.204928664072633,0.7598941996693611
8,42,189.2105677127838,7142.4892578125,0.0,0.0,0.6342519441730956,0.2995387422987539,0.3273721592548566,0.0,0.0,0.0,0.0,0.0,0.0,0.0073410445872025614,0.0,0.0,0.0,2.245795076713771,2.457255196684375,1.4865087270736694,30.08859869768586,108.28206719927563,0.3974568666032625,0.3422851632319747,0.4368762969970703,4.842196281884998,0.011533009747285444,0.011489403632182434,0.008199291303753853,0.0009820892304976418,0.002900479328496073,0.6461802758646897,0.24133294742921546,0.6990166902542114,2.075226977950713,0.7473540091887116
9,42,189.1991469860077,7138.7392578125,0.0,0.0,0.5949239588191366,0.2850309292730103,0.3028644853168064,0.0,0.0,0.0,0.0,0.0,0.0,0.0070285436032642415,0.0,0.0,0.0,2.2042746378637936,2.4360418184479347,1.4526989459991455,29.611039471343464,112.58722697546382,0.41002139233944995,0.37232691947671565,0.45562487840652466,4.9286640726329445,0.01103288970621008,0.011268057098804846,0.0077856434509158134,0.0009527782976863427,0.003030269569811405,0.6570253165264023,0.2588680005742323,0.7108716368675232,2.03199308257674,0.7302422947250307
10,42,189.19984602928162,7142.5830078125,0.0,0.0,0.5654829387481396,0.27487546373636296,0.2837453037245661,0.0,0.0,0.0,0.0,0.0,0.0,0.006862171425714962,0.0,0.0,0.0,2.1784058410659837,2.419244057724986,1.4414204359054565,29.283766350702056,113.90226273930637,0.4124917116095068,0.3875619033496796,0.46305692195892334,4.9718979680069175,0.010872375613169675,0.011169604372306248,0.007642646785825491,0.000943375271457562,0.003126195896113458,0.6594484931351662,0.29792531646001896,0.7187772989273071,2.1616947686986596,0.724531541345641
