epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_tv,train_loss_grad,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_eta,train_loss_scalar,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,191.35146307945251,7141.3330078125,0.0,0.0,1.117394200145689,0.5130622680370625,0.5896465720783951,0.0,0.0,0.0,0.0,0.0,0.0,0.014685360440968449,0.0,0.0,0.0,2.7655302832588404,2.7826553041408735,1.9195213317871094,38.598512779545224,132.59294635601617,0.20733255738053444,0.2863462943037482,0.23482149839401245,18.028534370946822,0.013755480908479507,0.013006589765174619,0.010002092458307743,0.0012322631286077093,0.003163556157058574,0.5630638864305284,0.25541987855833853,0.6086114645004272,2.5507998270644183,0.9647617121227086
2,42,189.25427341461182,7144.2080078125,0.0,0.0,0.8921679880883958,0.4284062281633035,0.453348708152771,0.0,0.0,0.0,0.0,0.0,0.0,0.01041305167799513,0.0,0.0,0.0,2.54562963399081,2.642747972685713,1.726046085357666,35.244848269500544,119.25814325375599,0.27897077992113956,0.3505842645176369,0.32277846336364746,10.41936878512754,0.012725203681956225,0.01205281598121515,0.009093419648706913,0.001160649962028494,0.003071773163597573,0.5872387316285713,0.2587473800913536,0.6412255167961121,3.285776048421963,0.8675697525031865
3,42,189.37837481498718,7144.8017578125,0.0,0.0,0.8145942673723922,0.3849719549091453,0.4202024439461211,0.0,0.0,0.0,0.0,0.0,0.0,0.009419866621844535,0.0,0.0,0.0,2.512366690959216,2.682574458269053,1.6759004592895508,33.931229374048144,111.0603718164307,0.32721599260038287,0.3246017346978287,0.36257386207580566,6.658019887591872,0.012341491384915903,0.012155579775533462,0.00885092094540596,0.0011120120281883567,0.003362575766473035,0.6010538576693438,0.26171667905398927,0.6528875827789307,2.637267617812365,0.8423756901174784
4,42,189.2969720363617,7141.3955078125,0.0,0.0,0.7645363158649868,0.3579890349227139,0.3977900649747278,0.0,0.0,0.0,0.0,0.0,0.0,0.00875721487065411,0.0,0.0,0.0,2.4233835377652717,2.5768870944575273,1.6258705854415894,32.73434607617612,112.47216114757867,0.34922941948395503,0.3166627592316401,0.3814408779144287,5.447470817120623,0.01273095742068034,0.01238485478093597,0.009099206887185574,0.0010897883235983946,0.0031784310343036175,0.6155847261542631,0.22946104089851516,0.6565195322036743,1.556420233463035,0.8174848961643875
5,42,189.35805821418762,7142.3955078125,0.0,0.0,0.7328353997479137,0.3430169820530802,0.38153587870108774,0.0,0.0,0.0,0.0,0.0,0.0,0.00828253802461311,0.0,0.0,0.0,2.3366622185673593,2.4850497544460324,1.5502729415893555,30.629492340540175,101.88159969730764,0.36498854279363513,0.3397528899603692,0.4018082618713379,5.490704712494596,0.011897847344457637,0.011748693554977563,0.008520092815160751,0.0010825039120311583,0.003277303510454234,0.6141359248410764,0.2554589254383693,0.6668403148651123,2.7669693039342844,0.7793965172022581
6,42,189.48463320732117,7141.8642578125,0.0,0.0,0.7077594615964808,0.32967675763827103,0.3700438287523058,0.0,0.0,0.0,0.0,0.0,0.0,0.008038872336316057,0.0,0.0,0.0,2.3052944894984746,2.472768883847771,1.5171451568603516,30.970391135594344,107.49643587401594,0.36066802603003784,0.49564406294418123,0.41155290603637695,5.923043666234327,0.011955591756241477,0.011722933349733,0.008608158677816391,0.001043611785904631,0.0032404831458822253,0.6247542917187267,0.2536937508678405,0.676948606967926,2.204928664072633,0.762876657769084
7,42,190.69234919548035,7142.2392578125,0.0,0.0,0.6721755422078646,0.3142117855131117,0.35025930437776776,0.0,0.0,0.0,0.0,0.0,0.0,0.007704451152035951,0.0,0.0,0.0,2.260632087300595,2.4410196319355277,1.48958158493042,30.967883326496544,118.48793050081149,0.37819847808583085,0.3876639682904051,0.429199755191803,6.398616515348032,0.011473883446549591,0.011364083283484932,0.008185243234038353,0.0010142760848392079,0.0031162612851427887,0.6384876051920088,0.2604781158453254,0.6903475522994995,2.1616947686986596,0.7488834140822291
8,42,189.29958367347717,7141.3330078125,0.0,0.0,0.634093684110886,0.2994654431557044,0.3272813346650865,0.0,0.0,0.0,0.0,0.0,0.0,0.007346906073184477,0.0,0.0,0.0,2.2452149149876006,2.4636476889936407,1.4823259115219116,30.28724173142366,112.46305461650935,0.3955224134218007,0.3601145726069451,0.4357197880744934,4.842196281884998,0.011559986029049986,0.011467584592071655,0.008208854123950005,0.000982374644487858,0.0029010487007313933,0.6459043598051356,0.24542986929031282,0.6977384686470032,2.1616947686986596,0.7452673828229308
9,42,189.3505356311798,7138.8642578125,0.0,0.0,0.5945239749219683,0.2848183269938852,0.30267518427636886,0.0,0.0,0.0,0.0,0.0,0.0,0.0070304619100613475,0.0,0.0,0.0,2.2035968562985104,2.4365454361342183,1.4486191272735596,29.62349939876519,112.03661184617141,0.4114928748305618,0.3616406329529317,0.4563242793083191,4.9286640726329445,0.011032322179817507,0.011247743346035207,0.007762162946164608,0.0009492279005492834,0.003039160869540027,0.6575415748514967,0.26013071967154966,0.7143980860710144,1.9887591872027668,0.7281906451098621
10,42,189.65875434875488,7143.0830078125,0.0,0.0,0.5652758739952348,0.27476358882382385,0.28363913144820774,0.0,0.0,0.0,0.0,0.0,0.0,0.0068731537614113245,0.0,0.0,0.0,2.177582503486082,2.420185363928527,1.435049295425415,29.329756668005,114.16695872794844,0.41245104907860863,0.3852636668151196,0.4641742706298828,5.101599654128837,0.010869905210206414,0.01114405000335105,0.007635543122887611,0.00094131148885029,0.0030880183345670213,0.6587990327052518,0.3069564712739586,0.7185890674591064,2.204928664072633,0.7213424192741513
