epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_tv,train_loss_grad,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_eta,train_loss_scalar,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,192.3397409915924,7148.9052734375,0.0,0.0,1.2394857466730298,0.5879253556076278,0.6366498146811103,0.0,0.0,0.0,0.0,0.0,0.0,0.01491057832733306,0.0,0.0,0.0,2.732474619145008,2.7830962074965635,1.8746815919876099,38.22714540130353,132.80877655925767,0.23140885574292994,0.2916645423612764,0.2576093077659607,13.445741461305664,0.013716245818872309,0.01308842567222234,0.009814832359552383,0.001235531903634987,0.0032500750016225947,0.5648805443672612,0.2555419290407638,0.6065996885299683,2.5507998270644183,0.9422482121735811
2,42,190.0023477077484,7148.4052734375,0.0,0.0,0.9715083179310856,0.4741477766607562,0.48663577259096324,0.0,0.0,0.0,0.0,0.0,0.0,0.010724768287733069,0.0,0.0,0.0,2.528221846290393,2.633268592580168,1.7277255058288574,35.12064246115083,116.07614385622368,0.2830196874408664,0.3638773957581749,0.327706515789032,9.943795936013835,0.0127135435876449,0.012093634184974531,0.009067865088582039,0.0011486085679255746,0.003117846656910078,0.5899014742509452,0.25566516160630526,0.6431493163108826,2.939904885430177,0.8683966854587197
3,42,190.3548104763031,7149.1552734375,0.0,0.0,0.8853029204230023,0.4241899846965431,0.4515359050188309,0.0,0.0,0.0,0.0,0.0,0.0,0.009577030490319698,0.0,0.0,0.0,2.4726260652756773,2.6280091669550565,1.638660192489624,33.080855429764405,108.20511613396806,0.3362385539383894,0.32936772223727623,0.3694809675216675,5.577172503242543,0.012297549423253526,0.012055160509387725,0.008816148154437542,0.0010950178255017698,0.003194151515510762,0.6040483118134353,0.2600443588795678,0.6569625735282898,2.680501513186338,0.8237381703220308
4,42,190.1667742729187,7147.2490234375,0.0,0.0,0.8318579072626228,0.39512462203319254,0.4277800334824456,0.0,0.0,0.0,0.0,0.0,0.0,0.008953253392321177,0.0,0.0,0.0,2.4111293272775227,2.572839318444354,1.6081736087799072,32.2524802303292,106.37692919772677,0.35338500599504497,0.3304315239313785,0.37953323125839233,5.40423692174665,0.012595220301940496,0.012148651721988276,0.009084893390536308,0.0010910510598650563,0.0031457126329612344,0.6125247588262793,0.2341259731289329,0.6569199562072754,2.03199308257674,0.8086292510852218
5,42,190.1651644706726,7147.0615234375,0.0,0.0,0.7979374230417431,0.377647674185598,0.41171202002427515,0.0,0.0,0.0,0.0,0.0,0.0,0.008577727388319934,0.0,0.0,0.0,2.329291477696338,2.4872220675928274,1.5531036853790283,30.886542096512592,103.38462209996105,0.36817911232491873,0.34703660434225414,0.40460437536239624,5.40423692174665,0.011880005573782581,0.011635752194238045,0.008549414575099945,0.001078851636790122,0.0032194412457561554,0.610557151289147,0.2585724437292744,0.6631803512573242,2.896670990056204,0.7808265499770641
6,42,190.12104201316833,7149.4052734375,0.0,0.0,0.7695521509545481,0.36346894102728267,0.3978232280820863,0.0,0.0,0.0,0.0,0.0,0.0,0.008259981045196964,0.0,0.0,0.0,2.298871879302806,2.4758127734365094,1.5437090396881104,30.681314392708696,105.243920310964,0.367409221264278,0.5938292705573563,0.4206894636154175,5.40423692174665,0.011729331018145077,0.011471664818550992,0.008442985825240612,0.0010316076953351514,0.003244089159971153,0.625952322504709,0.261085044388098,0.6857312917709351,2.3778642455685257,0.7760760127566755
7,42,190.0893895626068,7148.5927734375,0.0,0.0,0.7306556244181771,0.3453973612978927,0.37737551578599166,0.0,0.0,0.0,0.0,0.0,0.0,0.007882747133700256,0.0,0.0,0.0,2.2533781075446675,2.413906340944972,1.4974844455718994,30.293984929885646,107.19420406530583,0.3750455194719416,0.4569304907895876,0.4247232675552368,5.966277561608301,0.01156921501401683,0.01132743560836606,0.008196873590350151,0.0009985735390535256,0.0029119856136583687,0.637541911764883,0.25765206410280345,0.6925302743911743,1.9022913964548205,0.7528406595811248
8,42,190.1297469139099,7148.1552734375,0.0,0.0,0.6900084796624306,0.32850468632502433,0.35395002658041114,0.0,0.0,0.0,0.0,0.0,0.0,0.007553768737448586,0.0,0.0,0.0,2.2394192285813195,2.472167039023513,1.4677025079727173,30.67912581221954,125.11714921711888,0.4009857803415644,0.4098975261005235,0.43720632791519165,4.280155642023346,0.011464328822711829,0.011295204386620749,0.008071452379226685,0.0009827639666111629,0.002900172873915386,0.6435218743828536,0.28183600526846503,0.7024121284484863,1.8158236057068744,0.737886980175972
9,42,190.02487015724182,7150.4990234375,0.0,0.0,0.6478264173890791,0.3119510838109204,0.32859960440387076,0.0,0.0,0.0,0.0,0.0,0.0,0.007275728238587323,0.0,0.0,0.0,2.191461020683603,2.4115008115987,1.441166639328003,29.628066181982724,115.34715307740163,0.4096521143525697,0.3833931248175358,0.45668554306030273,4.9286640726329445,0.01099138689691755,0.011074809741656784,0.007754247169941664,0.0009482816816911948,0.0029228272329834605,0.6529241209415662,0.270130228256699,0.7122806310653687,2.1184608733246866,0.7244604432489723
10,42,189.9547824859619,7148.1552734375,0.0,0.0,0.616201293366587,0.30070113254408554,0.30848812707978435,0.0,0.0,0.0,0.0,0.0,0.0,0.007012034492551261,0.0,0.0,0.0,2.172704682958832,2.4111936831109886,1.4285283088684082,29.052778952207838,110.57814930586758,0.41323285382700026,0.4258014981072137,0.4643821716308594,4.626026805015132,0.010906289450722995,0.011046245510462927,0.007701639086008072,0.0009411984154712912,0.002989053258243259,0.6531132510921628,0.37857852803878755,0.7206119298934937,2.075226977950713,0.7181149739772081
