epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_tv,train_loss_grad,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_eta,train_loss_scalar,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,204.79316091537476,7141.3095703125,0.0,0.0,1.2401710090834939,0.5999848228512388,0.6183711738582623,0.0,0.0,0.0,0.0,0.0,0.0,0.021815011969973975,0.0,0.0,0.0,2.599398188521581,2.6890962845738264,1.789457082748413,35.67095308506377,125.23679048639046,0.22103360010146325,0.33063045618953724,0.2554174065589905,15.058538554703272,0.016387417446422442,0.018738331963826245,0.010707237757742405,0.0020462177263685846,0.007525298660104945,0.5670925747448271,0.2513727645416206,0.611283540725708,2.4626564392410173,0.9000821602530777
2,42,202.87725925445557,7141.3095703125,0.0,0.0,0.9860350676890955,0.49267796176282225,0.4761630532463962,0.0,0.0,0.0,0.0,0.0,0.0,0.017194054489791916,0.0,0.0,0.0,2.4499312682505163,2.5763585649991536,1.6466879844665527,32.44818840126735,107.65538546376033,0.29263134194228935,0.3199431927930158,0.32841336727142334,8.84134033104562,0.01527552387018355,0.01854367111309548,0.009936129674315453,0.0020109205039387664,0.0089737143295142,0.5829911750557445,0.2669081043839264,0.6393963694572449,3.229713362939039,0.8283120570704341
3,42,202.97696471214294,7140.6220703125,0.0,0.0,0.9030820996377267,0.4453368246365202,0.44152709019431274,0.0,0.0,0.0,0.0,0.0,0.0,0.016218185121047963,0.0,0.0,0.0,2.331030349582163,2.5002012239867044,1.5475480556488037,30.678178083525452,101.43619544498345,0.30825138693622006,0.4194000462450675,0.3664001226425171,8.962454582155834,0.014869122821346059,0.01813055928821616,0.009745736606419086,0.0018400649296373942,0.00913232435317163,0.6086633849586746,0.254986691836391,0.6594750881195068,2.624142107387969,0.7786468961276114
4,42,202.9950623512268,7139.4033203125,0.0,0.0,0.8523321819077269,0.417111397502525,0.4197071252637313,0.0,0.0,0.0,0.0,0.0,0.0,0.01551365920682653,0.0,0.0,0.0,2.3009984514506465,2.4656566369042037,1.5250318050384521,30.061999441814486,108.71531024943118,0.3510319808340862,0.3260192628892818,0.3839315176010132,5.651998385143318,0.01478112876689912,0.017870372748580513,0.00948336161673069,0.0017949370441484346,0.008317984144539667,0.6178496106285986,0.24046225323641326,0.6613001823425293,1.8570851836899476,0.7672575833275914
5,42,202.9137418270111,7140.9345703125,0.0,0.0,0.8171948405544153,0.40009417426453064,0.40198913967590394,0.0,0.0,0.0,0.0,0.0,0.0,0.015111526279402763,0.0,0.0,0.0,2.2869376925579363,2.472413920809584,1.510054588317871,29.814953107569792,102.95741467110882,0.35596786331735797,0.2841676968002649,0.3828495740890503,5.692369802180056,0.014343594457732523,0.017693038008552417,0.009251948446035385,0.0017943047455781093,0.008726024236048166,0.620807602923389,0.28069557844725723,0.6734524965286255,2.1800565199838515,0.7596532683819532
6,42,202.8594777584076,7142.8720703125,0.0,0.0,0.7901354469180677,0.3867296230707442,0.38860477195782334,0.0,0.0,0.0,0.0,0.0,0.0,0.014801050758396278,0.0,0.0,0.0,2.2429429133184673,2.434297220670846,1.4793031215667725,28.96967807449596,100.3241524431566,0.37144929543588734,0.32575063207949867,0.4045252203941345,5.0867985466289865,0.01418090951817447,0.018035213753130958,0.009083423763513565,0.0018596543426356886,0.011883811500133318,0.6217008610381972,0.2736787902882086,0.6732475161552429,2.583770690351231,0.744193272665143
7,42,202.993510723114,7140.0283203125,0.0,0.0,0.7546066291974872,0.37045637840194184,0.36979289409931765,0.0,0.0,0.0,0.0,0.0,0.0,0.014357355212350115,0.0,0.0,0.0,2.1979268088178814,2.386306964251705,1.44102144241333,28.796770822854626,101.56437294583937,0.37815223411056464,0.3893717627272018,0.4177830219268799,4.723455793298345,0.014017632910009846,0.017183938864969335,0.009008325636386871,0.0017204867244945004,0.007762308725548248,0.6376863591219564,0.2538337504303837,0.6950052976608276,2.018570851836899,0.7250148840248585
8,42,202.9998381137848,7142.9658203125,0.0,0.0,0.7107461925708887,0.35225414312437203,0.3446508487018102,0.0,0.0,0.0,0.0,0.0,0.0,0.013841200004253044,0.0,0.0,0.0,2.143097225199899,2.3269574599162675,1.3967653512954712,27.935595639099404,101.4472689889386,0.38931107265986786,0.3522321845346589,0.4328022599220276,5.732741219216794,0.01368519670301225,0.01699955445008082,0.008623631671071053,0.0016215058880262472,0.007751889669268413,0.6504783706410932,0.2821693583238716,0.7044693231582642,1.6955995155429955,0.7026944914832711
9,42,202.79322218894958,7143.1220703125,0.0,0.0,0.6687196098161086,0.3356999785325934,0.31961629025198435,0.0,0.0,0.0,0.0,0.0,0.0,0.013403341186008576,0.0,0.0,0.0,2.115827523543378,2.3398647446356047,1.3920437097549438,27.423308354792326,101.87630134925509,0.40793327511343497,0.36018227105013406,0.44736427068710327,4.925312878482035,0.013288356502865452,0.01686326288799369,0.008555232547223568,0.0015965265825215102,0.008802294913181515,0.6594894635229761,0.2750602698779293,0.7155054807662964,1.8167137666532096,0.7002994711510837
10,42,202.79683351516724,7142.5595703125,0.0,0.0,0.6369933194616004,0.3239914838824736,0.2999041311953817,0.0,0.0,0.0,0.0,0.0,0.0,0.013097705446522345,0.0,0.0,0.0,2.0881949391134826,2.3100374156917822,1.3624193668365479,27.303254371639238,106.6309898444331,0.4113354983472227,0.3638628128951343,0.4538643956184387,5.0060557125555105,0.013117615388443887,0.016697295898991025,0.008335556834936142,0.0015666667714020724,0.008494925486105696,0.658826971179206,0.43437713263654343,0.7240135669708252,1.9378280177634235,0.685377461835742
