epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_tv,train_loss_grad,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_eta,train_loss_scalar,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,217.85707449913025,7142.505859375,0.0,0.0,1.2500014127346508,0.6018352938230719,0.6167646675493919,0.0,0.0,0.0,0.0,0.0,0.0,0.021562381882214564,0.00983906931101242,0.0,0.0,2.622397799189227,2.7132566358489494,1.788715124130249,35.633340162749334,126.81895935537923,0.23113198139805152,0.2990078662546913,0.2564653158187866,13.080339119903108,0.016119298065180122,0.01894653785768179,0.010489712469279766,0.0020515451020095827,0.008382361423084435,0.5694192457593734,0.25694558840321674,0.6149729490280151,2.7048849414614455,0.8996024182997644
2,42,215.77197766304016,7142.505859375,0.0,0.0,0.9943777775270136,0.4940885084382655,0.47571768101892975,0.0,0.0,0.0,0.0,0.0,0.0,0.01733955875502534,0.007232028344108395,0.0,0.0,2.460007266748695,2.5759223793168093,1.6578137874603271,32.55419687621204,107.92608784735586,0.29266341492010306,0.30562586050439483,0.32007336616516113,8.43762616067824,0.015305596436441568,0.018380793098245713,0.009881667792797089,0.001941441572413625,0.007972922696181484,0.5886426359643655,0.2639286041957905,0.6434096693992615,2.9067420266451354,0.8338477276265621
3,42,215.98376846313477,7141.818359375,0.0,0.0,0.9103983653028996,0.4467724200926329,0.4412630860124859,0.0,0.0,0.0,0.0,0.0,0.0,0.016083363946408413,0.006279495216466403,0.0,0.0,2.3444048845843475,2.520678704207233,1.5558481216430664,32.01105385282606,120.44862973298136,0.30527443588862846,0.4101709935238824,0.35709255933761597,8.84134033104562,0.01484154634550665,0.01817882910747486,0.009676661342382431,0.001856904466775704,0.00956880189048402,0.6077586738246076,0.2544144486140009,0.6563729047775269,2.4626564392410173,0.7827623914927244
4,42,215.90034794807434,7140.599609375,0.0,0.0,0.8574041872503655,0.41763897266304284,0.41861205703714055,0.0,0.0,0.0,0.0,0.0,0.0,0.015459858228644116,0.005693300216097794,0.0,0.0,2.2874911877420288,2.433525810610876,1.5127298831939697,29.632413030479373,99.59064274337928,0.35096083033407316,0.3488317208111421,0.3846372365951538,6.257569640694388,0.014901369490208977,0.017758010413868697,0.009571431204676628,0.0017912476112803913,0.007342736254563026,0.6129661125187725,0.2347663105771212,0.6560178995132446,1.6552280985062575,0.7611506571993232
5,42,215.9619219303131,7142.130859375,0.0,0.0,0.8224428702959794,0.3992545560976725,0.40268617692556485,0.0,0.0,0.0,0.0,0.0,0.0,0.015143049005612114,0.005359087343234124,0.0,0.0,2.2577396677908492,2.4401990657946366,1.4865965843200684,29.586951473751085,101.52071954369319,0.3537406426405878,0.3350024236909509,0.3884298801422119,6.499798142914816,0.014361669669081662,0.01755128686776298,0.009225497953593731,0.0018182415621736782,0.00791614142791831,0.6124002299676463,0.28546776219669084,0.6663991808891296,2.624142107387969,0.747911041136831
6,42,216.06598114967346,7144.068359375,0.0,0.0,0.7949923563041565,0.3860377666957831,0.3891276843144753,0.0,0.0,0.0,0.0,0.0,0.0,0.014737541103316694,0.005089363147485318,0.0,0.0,2.2268137132051877,2.4041120416206163,1.4836026430130005,28.98099754740967,101.32777021741212,0.36898516102283774,0.33991314774115383,0.4039900302886963,6.0960839725474365,0.014244739305696853,0.018123264356700187,0.009075457230210304,0.001873452598100932,0.010883403134381655,0.6153908466493886,0.28335618754280784,0.6728531122207642,2.583770690351231,0.7463390501216054
7,42,215.85965394973755,7141.224609375,0.0,0.0,0.7584613033078694,0.3693905776720108,0.36996910111470654,0.0,0.0,0.0,0.0,0.0,0.0,0.014333788148815219,0.004767836182024716,0.0,0.0,2.206241462756434,2.3902285446017815,1.464076042175293,28.54662528489363,99.90774099375481,0.382082509787563,0.3581065589845026,0.415012001991272,4.763827210335083,0.014067712690190366,0.017195687649303747,0.00899260863661766,0.0017248413816969598,0.007681017213556289,0.6355843508633385,0.24903742716102414,0.6909558176994324,2.1396851029471136,0.7365343254059553
8,42,215.82694602012634,7144.162109375,0.0,0.0,0.7143641300558854,0.3512490903171436,0.3448266562139779,0.0,0.0,0.0,0.0,0.0,0.0,0.013842851840749834,0.0044455298935946975,0.0,0.0,2.1295134974707506,2.3036343148407896,1.4024853706359863,27.79682429216454,99.39346961351525,0.3925969553272908,0.3361788788972305,0.43353188037872314,5.530884134033105,0.01374263968720538,0.017261571110857105,0.008678167127072811,0.0016578246628444952,0.007982402690063792,0.6475266922035187,0.2779935982983345,0.7026231288909912,1.6552280985062575,0.7055817688815296
9,42,215.79052233695984,7144.318359375,0.0,0.0,0.6715546153378829,0.33456341366163284,0.3193725100354525,0.0,0.0,0.0,0.0,0.0,0.0,0.013414916915126869,0.004203773623160079,0.0,0.0,2.1065482295971387,2.3080596587928084,1.3820183277130127,26.907879413076078,95.75326283856923,0.4096514159602218,0.3602029725630247,0.45198869705200195,4.683084376261607,0.013338521077860857,0.0171372726034406,0.008420462720096111,0.0016340962107214225,0.009394619754864792,0.6541537167470591,0.2783848730339226,0.7160347700119019,1.8974566007266855,0.6952193952165544
10,42,215.77360153198242,7143.755859375,0.0,0.0,0.6399488379225207,0.32329322338294375,0.29947023894608116,0.0,0.0,0.0,0.0,0.0,0.0,0.0131431751597845,0.004042198490670792,0.0,0.0,2.085744882722866,2.2907760512600124,1.3764290809631348,26.879723750969898,99.69910676339207,0.4133051916337273,0.3524763981367854,0.4571024775505066,4.925312878482035,0.013137374343766937,0.016790693755021884,0.008352476172149181,0.0015579509064393596,0.008349472186725621,0.6607993467709784,0.3451155776401519,0.7248585224151611,1.8974566007266855,0.692390778567642
