epoch,epoch_time_s,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,oracle_mae_edos_mean,oracle_mae_edos_median,oracle_r2_edos_mean,oracle_r2_edos_median,oracle_mae_phdos_mean,oracle_mae_phdos_median,oracle_r2_phdos_mean,oracle_r2_phdos_median,balanced_score
1,108.16950678825378,-0.00038260745350271463,-0.0007817854057066143,2.7573948153253895,0.8511232073383498,1.6319202879775023,0.6962782764921382,0.4774924223867867,0.30968986338672416,0.39888604376302167,0.011397590771689425,2.7207179912325246,4.066122560367194,2.871724454678247,3.219721555709839,61.89111168518456,155.19792364619968,-1.6813469125266323,27.657336272186487,-0.19676661491394043,62.509117432531,0.027659897677896558,0.016379018640529135,0.024218427017331123,0.004394561118235877,0.007817699991585991,-0.838370520080814,12.381061176810212,0.26498091220855713,35.886214442013134,5.021382488913557,3.136720657348633,-0.43584201285475627,-0.16252493858337402,0.028728583511230036,0.023518886417150497,-0.028679713726391505,0.1800941824913025,1.621969991363585
2,107.81366539001465,-0.0008372871088795364,-0.0008854591869749129,1.7411157042222538,0.6538488014272629,1.0679574367256275,0.5800067191568825,0.3286702025127828,0.14768416584406927,0.16389366555361637,0.011184064979865727,0.1707264524572271,4.5168281149942455,3.358716512797876,3.3602542877197266,70.98737437076416,149.26859623477495,-1.8302361520427062,27.321775797825016,-0.21619045734405518,63.23851203501094,0.02521257518612685,0.01421948585075501,0.022508351132273674,0.003582145286063605,0.0055956196678267605,-0.5233597606311828,12.949201121873093,0.3027745485305786,34.20860685630927,5.034769247682054,3.1409120559692383,-0.5408793312193789,-0.03772997856140137,0.0283198317190711,0.02273370698094368,-0.05935720433117611,0.20096349716186523,1.6913813194260001
3,107.90283727645874,-0.00124089524615556,-0.0009492026874795556,1.5139104037521185,0.5557138733891634,0.945623844775097,0.49464504659697195,0.29385275839021535,0.12213765356266117,0.12813114181551918,0.009484110595245185,0.10675867959726656,4.769166920108573,3.7095845870192377,3.465496778488159,79.3182398782952,154.5694408854974,-2.0101177888921713,33.113691137490655,-0.31900596618652344,66.88548504741065,0.023271356594329665,0.014217848696978152,0.020079754292964935,0.0031893390922628924,0.004991568975667545,-0.17715988456550782,8.496961857509055,0.37820184230804443,25.82056892778993,5.0030959805515804,3.098940849304199,-0.5244852960935742,-0.052019357681274414,0.024207304578521074,0.0191139355301857,0.2369588409610946,0.4225555658340454,1.742788266390562
4,107.80046248435974,-0.0015468625351786613,-0.0010289521887898445,1.4085689541549793,0.5035171695596623,0.8944073877251183,0.4502823083463285,0.27890424326105645,0.1064697226221638,0.11538931315781076,0.009102734896888216,0.08823851544312242,4.379957585831266,3.5460294661506033,3.177689552307129,73.28545781048348,151.5569559030792,-1.3460687859748768,22.19008259036803,-0.1676093339920044,60.75857038657914,0.022589369287427698,0.01421701571285199,0.01896582916378975,0.0030698604956815676,0.004821613168059653,0.06410273637848123,2.402388181746402,0.4010871648788452,24.14296134208607,4.551447695098073,2.8904428482055664,-0.37231608570969776,-0.006486773490905762,0.023863338876548235,0.018654178828001022,0.25055626123861013,0.44973868131637573,1.5983276907354593
5,107.78742361068726,-0.0017891948809847236,-0.0011537467362359166,1.354382396613196,0.4751780564861464,0.8691380347176821,0.4270293605744665,0.2713047849019832,0.09629739330587339,0.1104473649760377,0.008406581145721953,0.08384988934301253,4.268003952190182,3.5080050528339064,3.1190788745880127,71.16307288884335,150.74956061037173,-1.2645525727543319,21.216824223479335,-0.15951287746429443,58.7892049598833,0.022316956331506425,0.013925922482327434,0.018618661910295486,0.0029850094260313,0.004617227235202345,0.0647169627645953,3.0465707894317124,0.4134199023246765,23.63238512035011,4.332909243535943,2.8097970485687256,-0.3258632490619267,0.02551591396331787,0.023496641150969853,0.018422987312078476,0.27443811095256515,0.4702935218811035,1.568848768249154
6,107.86241674423218,-0.002004182431846857,-0.001291106571443379,1.3130572415649369,0.45553853082587353,0.8475612638295565,0.41142116552191643,0.2647404365741129,0.08823472913083112,0.10667991187456051,0.00820103070442667,0.08317234795051831,4.2603467585917025,3.681319412763262,3.0330309867858887,72.75433137813987,159.1338935961667,-1.3871346986441608,30.0045817102834,-0.1254671812057495,56.74690007293947,0.022477221939040934,0.014354694703668179,0.018999122083187103,0.0029561766363819576,0.004529896249055704,0.05556117540550093,3.918285646805288,0.4160360097885132,23.559445660102117,4.324430792512987,2.820441961288452,-0.30019766661826924,0.06527036428451538,0.023879166974405536,0.018748562783002853,0.2630752321579959,0.4713086485862732,1.5260150544345379
7,107.81305646896362,-0.0022948586847633123,-0.0015641445061191916,1.2807371390456708,0.4417625765584996,0.8291227146765928,0.40050466814819646,0.2590592088226674,0.08251581502855693,0.10389017732949715,0.007754239727412557,0.08300999362488704,4.231893538102714,3.7402640099238185,2.996953248977661,74.33096500760573,165.82056709740957,-1.1922014306097637,22.79766834007389,-0.10927784442901611,56.09044493070752,0.021817887784406423,0.014261140164331325,0.018464097753167152,0.0029061389803678654,0.004543490470502267,0.12969448551655163,2.8198138077539654,0.43273526430130005,20.86068563092633,4.1884861699448805,2.762242555618286,-0.25828953510127217,0.06816363334655762,0.02295927222553888,0.01807585172355175,0.2908638121436583,0.4947110414505005,1.5077086733654141
8,107.84698271751404,-0.00272943452000618,-0.001779048121534288,1.2511366612709647,0.4304625581374321,0.8113991963967637,0.3918466136163595,0.25354946880403134,0.07723188875433133,0.10150157706947785,0.00669981130629095,0.07934945416107296,4.228424627097483,3.8102424593956563,3.0069732666015625,75.55996016578723,178.72567512665148,-0.9406027560856636,13.512506770813857,-0.12806999683380127,56.09044493070752,0.021768846073752388,0.014339712479658298,0.018234167248010635,0.0028982369927771693,0.004473268298280475,0.20503814610836715,1.1357221174074317,0.43736863136291504,20.058351568198397,4.175716813151024,2.6963448524475098,-0.23280790211248362,0.086944580078125,0.02218151647323453,0.01738506183028221,0.35476082476449655,0.5248435735702515,1.5126037169247866
9,107.85957169532776,-0.0029208865016698837,-0.002067002933472395,1.2168991060020624,0.4202530089515986,0.7895267039276768,0.3830562160939586,0.24724003064389133,0.07439358553607506,0.0956132222651219,0.006795347265651852,0.0576032502603861,4.199306775691473,3.89178833751172,2.943448543548584,77.80026946607556,195.35591129556315,-1.0789551767096044,20.261703254377984,-0.08043396472930908,54.77753464624362,0.02094094218420616,0.014283956124924778,0.01755562610924244,0.002823068940168619,0.004600766929948493,0.30724061157127786,1.2861504413784917,0.47781962156295776,13.056163384390956,4.104786805357488,2.625190496444702,-0.21967729593523222,0.0868956446647644,0.020822773652132885,0.016466693952679634,0.4458676366193898,0.561989426612854,1.4805020848289132
10,107.83522319793701,-0.0032762601040303707,-0.0023900175001472235,1.1896930203145863,0.4118458327155767,0.7726831698556683,0.3760777972529998,0.24215564218623992,0.07153607025177763,0.09243248459549061,0.0067075100809299805,0.03822523226510766,4.344896763041453,4.055022340214132,3.0589041709899902,80.24354351313552,202.03245333619753,-1.0753273309624864,17.18564515838179,-0.13926959037780762,56.52808169219548,0.020084160594979503,0.014114478569095522,0.016582220792770386,0.0027376082242855366,0.004685546291211288,0.3915380882486473,0.8272812347524198,0.5146689414978027,9.263311451495259,4.2053348032294355,2.655862808227539,-0.22203584159924808,0.11226832866668701,0.019852939266205395,0.015766697004437447,0.4934202170911103,0.5909088253974915,1.5377431958913803
