Z,atomic_weight,covalent_radius_cordero,atomic_radius,vdw_radius,metallic_radius,en_pauling,en_allen,ionization_1,electron_affinity,melting_point,boiling_point,density,molar_heat_capacity,thermal_conductivity,abundance_crust,group_id,period,mendeleev_number,pettifor_number,dipole_polarizability,c6,fusion_heat,evaporation_heat,en_miedema
1,1.008,31.0,25.0,110.00000000000001,130.0,2.2,13.61,16.357925,0.754195,13.989999999999952,20.270999999999987,8.2e-05,28.836,0.1815,1400.0,1.0,1.0,105.0,103.0,4.50711,6.499026705,0.117,0.904,5.2
2,4.002602,28.000000000000004,120.0,140.0,130.0,1.7,24.59,54.4177655282,-19.7,1193.15,4.22199999999998,0.000164,20.786,0.152,0.008,18.0,1.0,112.0,1.0,1.38375,1.42,11.5,0.08,4.05
3,6.94,128.0,145.0,182.0,123.0,0.98,5.392,75.640097,0.618049,453.65,1615.15,0.534,24.86,84.8,20.0,1.0,2.0,1.0,12.0,164.1125,1392.0,2.89,148.0,2.85
4,9.0121831,96.0,105.0,153.0,89.0,1.57,9.323,18.21115,-2.4,1560.15,2741.15,1.85,16.443,201.0,2.8,2.0,2.0,75.0,77.0,37.74,227.0,12.21,309.0,5.05
5,10.81,84.0,85.0,192.0,80.0,2.04,12.13,25.15483,0.279723,2350.15,4273.15,2.34,11.087,27.4,10.0,13.0,2.0,81.0,86.0,20.5,99.5,23.6,504.5,5.3
6,12.011,73.0,70.0,170.0,130.0,2.55,15.05,24.383143,1.262119,1193.15,4098.15,2.2,8.517,1.59,200.0,14.0,2.0,87.0,95.0,11.3,46.6,11.5,286.55,6.24
7,14.007,71.0,65.0,155.0,130.0,3.04,18.13,29.60125,-1.4,63.14999999999998,77.35499999999999,0.001145,29.124,0.026,19.0,15.0,2.0,93.0,100.0,7.4,24.2,11.5,286.55,6.86
8,15.999,66.0,60.0,152.0,130.0,3.44,21.36,35.12112,1.4611135,54.359999999999985,90.18799999999999,0.0013080000000000001,29.378,0.027,461000.0,16.0,2.0,99.0,101.0,5.3,15.6,11.5,286.55,4.05
9,18.998403163,56.99999999999999,50.0,147.0,130.0,3.98,24.8,34.97081,3.4011897000000006,53.47999999999999,85.03999999999996,0.001553,31.304,0.028,585.0,17.0,2.0,106.0,102.0,3.74,9.52,0.51,6.54,4.05
10,20.1797,57.99999999999999,160.0,154.0,130.0,1.7,28.31,40.96297,0.65612823,24.559999999999974,27.103999999999985,0.000825,20.786,33.0,0.005,18.0,2.0,113.0,2.0,2.6611,6.2,11.5,1.74,4.05
11,22.98976928,166.0,180.0,227.0,157.0,0.93,5.14,47.28636,0.547926,370.94399999999996,1156.0900000000001,0.97,28.23,142.0,23600.0,1.0,3.0,2.0,11.0,162.7,1518.0,2.64,97.9,2.7
12,24.305,141.0,150.0,173.0,136.0,1.31,7.646,15.035271,0.65612823,923.15,1363.15,1.74,24.869,156.0,23300.0,2.0,3.0,76.0,73.0,71.2,626.0,9.2,131.8,3.45
13,26.9815385,121.0,125.0,184.0,125.0,1.61,9.539,18.82855,0.43283,933.473,2792.15,2.7,24.2,237.0,82300.0,13.0,3.0,82.0,80.0,57.8,528.0,10.75,284.1,4.2
14,28.085,111.00000000000001,110.0,210.0,117.0,1.9,11.33,16.34585,1.3895211,1687.15,3538.15,2.3296,19.99,149.0,282000.0,14.0,3.0,88.0,85.0,37.3,305.0,50.6,383.0,4.7
15,30.973761998,107.0,100.0,180.0,110.0,2.19,13.33,19.76949,0.746607,317.29999999999995,553.65,1.823,23.824,33.0,1050.0,15.0,3.0,94.0,90.0,25.0,185.0,2.51,49.8,5.55
16,32.06,105.0,100.0,180.0,104.0,2.58,15.31,23.33788,2.07710403,368.34999999999997,717.76,2.07,22.7,0.27,350.0,16.0,3.0,100.0,94.0,19.4,134.0,1.23,10.5,4.05
17,35.45,102.0,100.0,175.0,130.0,3.16,16.97,23.81364,3.612725,171.64999999999998,239.10999999999999,0.002898,33.949,0.009,145.0,17.0,3.0,107.0,99.0,14.6,94.6,6.41,20.41,4.05
18,39.948,106.0,71.0,188.0,130.0,1.7,19.17,27.62967,-11.5,83.80999999999997,87.30199999999996,0.001633,20.786,0.0177,3.5,18.0,3.0,114.0,3.0,11.083,64.2,11.5,6.52,4.05
19,39.0983,202.99999999999997,220.0,275.0,203.0,0.82,4.34,31.625,0.50147,336.65,1032.15,0.89,29.6,79.0,20900.0,1.0,4.0,3.0,10.0,289.7,3923.0,102.5,2.33,2.25
20,40.078,176.0,180.0,231.0,174.0,1.0,6.1129999999999995,11.871719,0.02455,1115.15,1757.15,1.54,25.929,33.0,41500.0,2.0,4.0,7.0,16.0,160.8,2163.0,9.2,153.6,2.55
21,44.955908,170.0,160.0,215.0,144.0,1.36,7.042000000000001,12.79977,0.188,1814.15,3109.15,2.99,25.52,15.8,22.0,3.0,4.0,11.0,20.0,97.0,1383.0,15.8,332.7,3.25
22,47.867,160.0,140.0,211.0,132.0,1.54,8.17,13.5755,0.079,1943.15,3560.15,4.506,25.06,21.9,5650.0,4.0,4.0,43.0,51.0,87.0,1044.0,18.8,422.6,3.8
23,50.9415,153.0,135.0,206.99999999999997,122.0,1.63,9.062999999999999,14.634,0.525,2183.15,3680.15,6.0,24.89,30.7,120.0,5.0,4.0,47.0,54.0,87.0,832.0,17.5,460.0,4.25
24,51.9961,139.0,140.0,206.0,119.0,1.66,9.77,16.486305,0.6659999999999999,2180.15,2944.15,7.15,23.35,93.9,102.0,6.0,4.0,51.0,57.0,83.0,602.0,21.0,342.0,4.65
25,54.938044,150.0,140.0,204.99999999999997,118.0,1.55,10.34,15.63999,0.65612823,1519.15,2334.15,7.3,26.32,33.0,950.0,7.0,4.0,55.0,60.0,68.0,552.0,13.4,221.0,4.45
26,55.845,142.0,140.0,204.0,117.0,1.83,10.64,16.19921,0.151,1811.15,3134.15,7.87,25.1,80.4,56300.0,8.0,4.0,59.0,61.0,62.0,482.0,13.8,340.0,4.93
